seed,missing_modality,duration_seconds,dt_seconds,reference_position_rmse_m,dropout_position_rmse_m,position_rmse_increase_percent,reference_velocity_rmse_mps,dropout_velocity_rmse_mps,velocity_rmse_increase_percent,reference_acceleration_rmse_mps2,dropout_acceleration_rmse_mps2,acceleration_rmse_increase_percent,missing_modality_valid_count,remaining_modality_valid_count,dropout_optical_valid_count,dropout_infrared_valid_count,dropout_radar_valid_count,reference_mean_ci_weight_optical,reference_mean_ci_weight_infrared,reference_mean_ci_weight_radar,dropout_mean_ci_weight_optical,dropout_mean_ci_weight_infrared,dropout_mean_ci_weight_radar,reference_local_position_rmse_optical_m,reference_local_position_rmse_infrared_m,reference_local_position_rmse_radar_m,dropout_local_position_rmse_optical_m,dropout_local_position_rmse_infrared_m,dropout_local_position_rmse_radar_m,finite
0,opt,120.0,2.0,12.028164822004586,32.06840761824238,166.6109759285618,0.09269212571918946,0.06212944433464912,-32.972252116787025,1.7978868729853573e-05,6.075452566008296e-05,237.92184910500634,0,122,0,61,61,0.6338888888888887,0.0,0.3661111111111112,0.0,0.86,0.13999999999999996,12.551222529284061,12.922317270782468,14.94245275408598,33.26622340569393,32.42488784178162,33.78637738333527,True
0,ir,120.0,2.0,12.028164822004586,12.028156956716757,-6.539058905017036e-05,0.09269212571918946,0.09269250135913344,0.0004052555069473721,1.7978868729853573e-05,1.7978872487652055e-05,2.0901195388317645e-05,0,122,61,0,61,0.6338888888888887,0.0,0.3661111111111112,0.6338888888888887,0.0,0.3661111111111112,12.551222529284061,12.922317270782468,14.94245275408598,12.551220519261422,15.087437467804364,14.942434237540239,True
0,rad,120.0,2.0,12.028164822004586,37.570074075944106,212.35084181098514,0.09269212571918946,0.08543964994948187,-7.824263078914534,1.7978868729853573e-05,4.421000874217272e-05,145.8998361157331,0,122,61,61,0,0.6338888888888887,0.0,0.3661111111111112,1.0,0.0,0.0,12.551222529284061,12.922317270782468,14.94245275408598,37.570074075894915,37.72920663823778,38.46433769171225,True
1,opt,120.0,2.0,15.281321325676352,24.751043762826484,61.969264537607,0.04784415420413491,0.07231123395001408,51.139120657220474,1.989758821445187e-05,4.610912552266369e-05,131.73223320188146,0,122,0,61,61,0.6338888888888887,0.0,0.3661111111111112,0.0,0.8599999999999999,0.13999999999999996,15.58713877751836,21.224523544522512,17.492284334343584,26.22618759566795,26.702597394906523,26.324229608436102,True
1,ir,120.0,2.0,15.281321325676352,15.281229605540585,-0.0006002107658922885,0.04784415420413491,0.047844129188762595,-5.228511765203149e-05,1.989758821445187e-05,1.989749742958372e-05,-0.00045626066422414,0,122,61,0,61,0.6338888888888887,0.0,0.3661111111111112,0.6338888888888887,0.0,0.3661111111111112,15.58713877751836,21.224523544522512,17.492284334343584,15.587050934709744,17.74258562240844,17.49221114723819,True
1,rad,120.0,2.0,15.281321325676352,22.665051222007012,48.31866131840439,0.04784415420413491,0.06050619923913616,26.465187326703617,1.989758821445187e-05,2.7463069772619456e-05,38.02210336563645,0,122,61,61,0,0.6338888888888887,0.0,0.3661111111111112,1.0,0.0,0.0,15.58713877751836,21.224523544522512,17.492284334343584,22.665051222169122,27.05775498584306,24.28626675617333,True
2,opt,120.0,2.0,13.40632878840644,19.644674020945878,46.532837818614816,0.06956843899291268,0.08589616408425335,23.470017909995175,1.8534310333358982e-05,3.3383091247350843e-05,80.11509814458152,0,122,0,61,61,0.6338888888888887,0.0,0.3661111111111112,0.0,0.86,0.13999999999999996,13.878274266367711,14.204518861125388,16.261634101934167,21.664578101276255,20.582115504110888,22.173347781561024,True
2,ir,120.0,2.0,13.40632878840644,13.406298061947508,-0.00022919368469713578,0.06956843899291268,0.06956853429899233,0.00013699614513839389,1.8534310333358982e-05,1.853428072608089e-05,-0.00015974307950911325,0,122,61,0,61,0.6338888888888887,0.0,0.3661111111111112,0.6338888888888887,0.0,0.3661111111111112,13.878274266367711,14.204518861125388,16.261634101934167,13.878229840513107,16.214425571569045,16.26161463122277,True
2,rad,120.0,2.0,13.40632878840644,23.31419767935418,73.90441520064681,0.06956843899291268,0.08894775276901744,27.85647350529029,1.8534310333358982e-05,2.8515754703407604e-05,53.85387527521603,0,122,61,61,0,0.6338888888888887,0.0,0.3661111111111112,1.0,0.0,0.0,13.878274266367711,14.204518861125388,16.261634101934167,23.314197679215255,23.68089280215704,24.89855631809066,True
3,opt,120.0,2.0,16.07923398905704,39.88316588016925,148.04145463218165,0.07352288462955546,0.1501798690976731,104.26275418103266,2.1054630975170108e-05,7.823954486430245e-05,271.60254652086263,0,122,0,61,61,0.6338888888888887,0.0,0.3661111111111112,0.0,0.8599999999999999,0.13999999999999996,16.500366445249487,19.803742454366922,18.15713609249029,40.888671404162395,40.54059129620651,40.66943288087304,True
