infrared_angle_sigma_deg,run_count,mean_position_rmse_increase_percent,position_increase_95_half_width_percent,worst_position_rmse_increase_percent,threshold_met
0.05,5,98.02056402132561,48.255229126532846,166.6109759285618,False
0.025,5,42.159030840274355,21.07104195418475,72.18810152935104,False
0.0125,5,14.551325908198555,8.90885606677612,30.09722912042736,True
0.00625,5,2.8903436965435327,1.8584233988159375,6.310638835653386,True
0.005,5,1.0606310736101108,0.5775239019834387,1.943575177013014,True
