gain,seed,rmse_deg,outage_rmse_deg,original_cann_outage_rmse_deg
0.03,10,0.08452931005807249,0.14016766953506746,0.16709415101695502
0.03,11,0.15497387011488425,0.25189100569117573,0.42757367262500046
0.03,12,0.06411943858457171,0.09291533308289747,0.29870150579891985
0.03,13,0.18628962260903503,0.30577263474207883,0.5147647674326835
0.03,14,0.16206108926050591,0.2594904909554748,0.39415470236692696
0.1,10,0.0806911920927911,0.13090597228918044,0.16709415101695502
0.1,11,0.04456950716203327,0.051908477115044954,0.42757367262500046
0.1,12,0.09224882146004951,0.1443959342756723,0.29870150579891985
0.1,13,0.09559384689092772,0.15332732121902862,0.5147647674326835
0.1,14,0.10937934147629932,0.17279644807710387,0.39415470236692696
0.3,10,0.12861373222782668,0.20568535562770282,0.16709415101695502
0.3,11,0.09280526333115517,0.13516392647045455,0.42757367262500046
0.3,12,0.12900188235695434,0.20497261698780278,0.29870150579891985
0.3,13,0.11696338131913259,0.18844562731942485,0.5147647674326835
0.3,14,0.2026517217387649,0.32752098437179455,0.39415470236692696
