seed,duration_seconds,dt_seconds,ekf_position_rmse_m,federated_position_rmse_m,position_improvement_percent,radar_only_position_rmse_m,infrared_only_position_rmse_m,optical_only_position_rmse_m,best_single_modality,best_single_modality_position_rmse_m,position_improvement_over_best_single_percent,ekf_velocity_rmse_mps,federated_velocity_rmse_mps,velocity_improvement_percent,ekf_acceleration_rmse_mps2,federated_acceleration_rmse_mps2,acceleration_improvement_percent,early_position_improvement_percent,stable_position_improvement_percent,ekf_mean_nis_optical,ekf_mean_nis_infrared,ekf_mean_nis_radar,federated_mean_nis_optical,federated_mean_nis_infrared,federated_mean_nis_radar,federated_mean_ci_weight_optical,federated_mean_ci_weight_infrared,federated_mean_ci_weight_radar,federated_local_position_rmse_optical_m,federated_local_position_rmse_infrared_m,federated_local_position_rmse_radar_m,federated_local_mean_covariance_trace_optical,federated_local_mean_covariance_trace_infrared,federated_local_mean_covariance_trace_radar,ekf_rejection_count,federated_rejection_count,ekf_runtime_seconds,federated_runtime_seconds,measurement_counts_identical,finite
0,120.0,2.0,12.31296470987328,12.028164822004586,2.3130082362724873,70.49595114420055,38.77259891127443,37.598973599337114,opt,37.598973599337114,68.00932666359635,0.1003648177803619,0.09269212571918946,7.644802462515636,1.8290851805876542e-05,1.7978868729853573e-05,1.7056782228301355,0.7875453984624404,5.408664440473583,1.7834574954862388,2.2126906272658307,1.93571889701729,1.6341038206363618,2.209263375133608,1.7202237474768614,0.6338888888888887,0.0,0.3661111111111112,12.551222529284061,12.922317270782468,14.94245275408598,804.0027540099743,954.1215211283712,940.3829793007748,0,0,0.22387940000044182,0.348815499979537,True,True
1,120.0,2.0,15.264374144400595,15.281321325676352,-0.11102440961835192,71.42268311269349,35.21666000498211,22.672893310447026,opt,22.672893310447026,32.600920771610774,0.05182066762364953,0.04784415420413491,7.673605149965005,1.9790389417119396e-05,1.989758821445187e-05,-0.5416709852093372,2.021484705721,-5.376864247729819,1.4614990322627175,1.7695419672760322,1.441335606693996,1.3412400851801867,1.7629214931970736,1.2930580871992885,0.6338888888888887,0.0,0.3661111111111112,15.58713877751836,21.224523544522512,17.492284334343584,803.9998912698636,954.1176080773338,940.3795428172617,0,0,0.13292429997818545,0.3437504000030458,True,True
2,120.0,2.0,13.33934145553077,13.40632878840644,-0.5021787102383289,71.75989156735484,28.51884954200938,23.31447996267221,opt,23.31447996267221,42.497843357987286,0.08573257910674836,0.06956843899291268,18.854139560772108,1.8496336385266444e-05,1.8534310333358982e-05,-0.20530524154386876,1.1160002994303198,-10.890845771038034,1.8791192512375057,2.1222085724109414,1.9556130113219035,1.6907649943211496,2.116383956161188,1.7348255960646468,0.6338888888888887,0.0,0.3661111111111112,13.878274266367711,14.204518861125388,16.261634101934167,804.0037009742732,954.1222732943668,940.383902708249,0,0,0.14013780001550913,0.34975259998464026,True,True
3,120.0,2.0,15.151431880240699,16.07923398905704,-6.123527572508237,71.04919669376409,60.921701162561334,31.341263922657195,opt,31.341263922657195,48.6962809517294,0.09610326176275619,0.07352288462955546,23.495952914629914,2.0514764082581362e-05,2.1054630975170108e-05,-2.6316017596670047,0.6106015348374306,-31.270193427897116,2.1481096054730586,1.736839540288144,2.0526673989959106,1.9424144691729952,1.7396114206498716,1.876893739730767,0.6338888888888887,0.0,0.3661111111111112,16.500366445249487,19.803742454366922,18.15713609249029,804.0128847222601,954.1331764848366,940.394752432581,0,0,0.1401161000248976,0.34813389999908395,True,True
4,120.0,2.0,20.13095908022172,21.49744821460775,-6.787998172072081,72.69891548818089,50.15505188351198,26.159590722146092,opt,26.159590722146092,17.821924498197447,0.11025864502126372,0.08028521228646786,27.184655433608302,2.561546831755808e-05,2.707078950568289e-05,-5.681415502863404,-0.2698787244493706,-22.49580045822395,1.8547868341249094,2.0333714704880115,1.627124947666786,1.681617284639698,2.0307666494688217,1.5163177628570652,0.6338888888888887,0.0,0.3661111111111112,21.755921323703763,24.83307921967123,22.945571050194506,804.0179918284127,954.1394720381697,940.4005091056614,0,0,0.1389492999878712,0.3422502000175882,True,True
