seed,rmse_deg,outage_rmse_deg,final_rate_bias_deg_s,pre_outage_rate_bias_deg_s
0,0.0895104531870399,0.10313862824064134,-0.0027495326149600445,-0.002807066474294989
1,0.344501977917723,0.5691499976781229,-0.0023023069647574736,-0.0018932904643763617
2,0.09527694615234003,0.10017096483748816,-0.002547571479156985,-0.0025961850219596767
3,0.11574620810462223,0.13627900836573845,-0.0034240657845267413,-0.003421998973201397
4,0.41980934467434233,0.7128275512635138,-0.0029890373979952513,-0.003830713866305491
