time_s,truth_phase_rad,mode,decoded_phase_rad,truth_error_rad,source_residual_rad,bump_concentration,bump_width_rad,cue_applied,cross_track_position_m
0.0,0.0,no_cue,6.283185046229606,-2.609499798467141e-07,0.0,0.7961740796645927,0.6751850472301968,0,3.730349795735284
0.0,0.0,periodic_cue,6.283185046229606,-2.609499798467141e-07,0.0,0.7961740796645927,0.6751850472301968,0,3.730349795735284
0.0,0.0,every_epoch_cue,6.283185046229606,-2.609499798467141e-07,0.0,0.7961740796645927,0.6751850472301968,0,3.730349795735284
2.0,0.0021204128984185994,no_cue,0.0021201611793485176,-2.517190700324079e-07,-1.5729434998945635e-07,0.7961706624100595,0.6751914041299912,0,1.6095254597385065
2.0,0.0021204128984185994,periodic_cue,0.0021201611793485176,-2.517190700324079e-07,-1.5729434998945635e-07,0.7961706624100595,0.6751914041299912,0,1.6095254597385065
2.0,0.0021204128984185994,every_epoch_cue,0.002189614485343201,6.920158692480527e-05,6.929601164484822e-05,0.9417592485727199,0.346426361104742,1,1.6095254597385065
4.0,0.004240825805943405,no_cue,0.004240583039053284,-2.4276689014612884e-07,-2.219472756692653e-07,0.7961706624100595,0.6751914041299912,0,1.388667198980329
4.0,0.004240825805943405,periodic_cue,0.004240583039053284,-2.4276689014612884e-07,-2.219472756692653e-07,0.7961706624100595,0.6751914041299912,0,1.388667198980329
4.0,0.004240825805943405,every_epoch_cue,0.004310100982248285,6.927517630472835e-05,6.929599591920521e-05,0.9417592485727503,0.34642636110464875,1,1.388667198980329
6.0,0.006361238731680653,no_cue,0.006361004547812377,-2.3418386829732185e-07,-3.156145127469756e-07,0.7961706624100593,0.6751914041299917,0,1.3074586316215573
6.0,0.006361238731680653,periodic_cue,0.006361004547812377,-2.3418386829732185e-07,-3.156145127469756e-07,0.7961706624100593,0.6751914041299917,0,1.3074586316215573
6.0,0.006361238731680653,every_epoch_cue,0.0064306161474954856,6.937741581491963e-05,6.929598517046998e-05,0.9417592485727947,0.34642636110451264,1,1.3074586316215573
8.0,0.008481651684736646,no_cue,0.008481427015983246,-2.246687533791203e-07,-3.2597920629484634e-07,0.7961706624100594,0.6751914041299915,0,0.21893067557903123
8.0,0.008481651684736646,periodic_cue,0.008481427015983246,-2.246687533791203e-07,-3.2597920629484634e-07,0.7961706624100594,0.6751914041299915,0,0.21893067557903123
8.0,0.008481651684736646,every_epoch_cue,0.008551049011993031,6.939732725630421e-05,6.929601680338848e-05,0.9417592485728468,0.34642636110435304,1,0.21893067557903123
10.0,0.010602064674217771,no_cue,0.010601849162047467,-2.155121703317775e-07,-4.3423107998208366e-07,0.7961706624100595,0.6751914041299912,0,0.07366358570288867
10.0,0.010602064674217771,periodic_cue,0.010671579399204477,6.951472498650801e-05,6.929600607685771e-05,0.9417592485729003,0.346426361104189,1,0.07366358570288867
10.0,0.010602064674217771,every_epoch_cue,0.010671579399202937,6.951472498517575e-05,6.929600607552544e-05,0.9417592485729002,0.34642636110418934,1,0.07366358570288867
12.0,0.012722477709230549,no_cue,0.012722271309916742,-2.0639931364030417e-07,-3.823760037491297e-07,0.7961706624100592,0.6751914041299918,0,0.1935423584363889
12.0,0.012722477709230549,periodic_cue,0.012785936426143866,6.345871691326721e-05,6.328274022360247e-05,0.7961706624100601,0.6751914041299902,0,0.1935423584363889
12.0,0.012722477709230549,every_epoch_cue,0.012791949691402084,6.94719821714429e-05,6.929600548177817e-05,0.9417592485729467,0.3464263611040468,1,0.1935423584363889
14.0,0.014842890798881651,no_cue,0.014842693170487269,-1.9762839453818515e-07,-3.9546671493084773e-07,0.7961706624100594,0.6751914041299915,0,0.03616700465499889
14.0,0.014842890798881651,periodic_cue,0.014906358286714542,6.346748783281342e-05,6.326964951242076e-05,0.7961706624100594,0.6751914041299915,0,0.03616700465499889
14.0,0.014842890798881651,every_epoch_cue,0.014912384632284252,6.949383340248971e-05,6.929599508209705e-05,0.9417592485729793,0.34642636110394676,1,0.03616700465499889
16.0,0.016963303952277936,no_cue,0.01696311422819721,-1.8972408089013015e-07,-3.1104427877792773e-07,0.7961706624100594,0.6751914041299915,0,-0.19065193493588595
16.0,0.016963303952277936,periodic_cue,0.017026779344424665,6.347539214690556e-05,6.335407194857368e-05,0.7961706624100594,0.6751914041299915,0,-0.19065193493588595
16.0,0.016963303952277936,every_epoch_cue,0.01703272124009718,6.941728781928447e-05,6.929596762139667e-05,0.9417592485729942,0.3464263611039011,1,-0.19065193493588595
18.0,0.019083717178526482,no_cue,0.019083536920387268,-1.8025813908195687e-07,-2.8594656820146724e-07,0.7961706624100593,0.6751914041299917,0,-0.07888547524635214
18.0,0.019083717178526482,periodic_cue,0.019147202036614654,6.348485808826965e-05,6.337916965915014e-05,0.7961706624100595,0.6751914041299912,0,-0.07888547524635214
18.0,0.019083717178526482,every_epoch_cue,0.019153118886732982,6.940170820657343e-05,6.929601977745392e-05,0.9417592485729868,0.34642636110392394,1,-0.07888547524635214
