seed,duration_seconds,dt_seconds,ekf_position_rmse_m,federated_position_rmse_m,position_improvement_percent,radar_only_position_rmse_m,infrared_only_position_rmse_m,optical_only_position_rmse_m,best_single_modality,best_single_modality_position_rmse_m,position_improvement_over_best_single_percent,ekf_velocity_rmse_mps,federated_velocity_rmse_mps,velocity_improvement_percent,ekf_acceleration_rmse_mps2,federated_acceleration_rmse_mps2,acceleration_improvement_percent,early_position_improvement_percent,stable_position_improvement_percent,ekf_mean_nis_optical,ekf_mean_nis_infrared,ekf_mean_nis_radar,federated_mean_nis_optical,federated_mean_nis_infrared,federated_mean_nis_radar,federated_mean_ci_weight_optical,federated_mean_ci_weight_infrared,federated_mean_ci_weight_radar,federated_local_position_rmse_optical_m,federated_local_position_rmse_infrared_m,federated_local_position_rmse_radar_m,federated_local_mean_covariance_trace_optical,federated_local_mean_covariance_trace_infrared,federated_local_mean_covariance_trace_radar,ekf_rejection_count,federated_rejection_count,ekf_runtime_seconds,federated_runtime_seconds,measurement_counts_identical,finite
0,120.0,2.0,9.437488411327594,9.614297119509637,-1.8734720560803326,69.99104234795556,31.047638575525283,36.145929149671865,ir,31.047638575525283,69.03372507341494,0.08400925288593479,0.10095731992245705,-20.174048041510172,1.460694835378198e-05,1.4903917018546762e-05,-2.0330643853333834,-1.3126760678384446,-19.024483178724907,2.2409078874702266,1.8690012972894399,1.703878410733721,2.1367237431784747,1.7350656293532674,0.6182279844883707,0.0,0.9811111111111113,0.018888888888888882,10.340562855721574,10.101383785863343,12.896476202320809,670.3693058591526,667.8205822972105,800.0854630116413,0,0,0.408153600001242,0.591123800004425,True,True
1,120.0,2.0,9.289459200791512,9.342077167493782,-0.5664265870050497,70.64371917146703,28.75692377153503,17.58217642041908,opt,17.58217642041908,46.86620732206765,0.07862693804121966,0.07015141808372721,10.779409918073132,1.4141087994002065e-05,1.453060787193899e-05,-2.7545255223794727,-0.7256941202753681,4.118913563883664,2.3711168736645503,2.0891792901136657,1.2233495815658442,2.313142045095025,2.1027732125557543,0.41951470962524795,0.0,0.9811111111111113,0.018888888888888882,10.156869118530114,9.841805384672414,12.667158164828667,670.3665858594314,667.8193862582455,800.0841877196467,0,0,0.3942585999975563,0.626465499997721,True,True
2,120.0,2.0,9.386628939009986,9.389317302069596,-0.028640346572531058,70.19297052025041,20.272949063610604,32.47633839346755,ir,20.272949063610604,53.68548861535312,0.06973484143584674,0.08017356156342131,-14.969160196883474,1.4498516046335701e-05,1.4417036133564297e-05,0.56198794766998,-0.29633001558596644,6.578724592400116,1.9401407408415035,2.0502514472340683,1.2587502094842642,1.9609310203760153,2.092618598520143,0.45415534341476815,0.0,0.9811111111111113,0.018888888888888882,9.936520655910643,9.885775487127056,12.731339015984098,670.3673793943896,667.8199684092614,800.0847658900716,0,0,0.4053392999994685,0.6080282999973861,True,True
