scenario,label,original_position_rmse_m,cann_position_rmse_m,original_outage_rmse_m,cann_outage_rmse_m,original_velocity_rmse_mps,cann_velocity_rmse_mps,position_delta_m,outage_delta_m
none,No outage,15.124089167881703,15.124089167881703,4.699512843401277,4.699512843401277,0.08344554464510605,0.08344554464510605,0.0,0.0
ir,IR outage,15.129803833755037,15.129803833755037,4.727132182788327,4.727132182788327,0.08351453615766957,0.08351453615766957,0.0,0.0
opt,Optical outage,18.10182570701844,18.10182570701844,18.00066187642931,18.00066187642931,0.10393060889428053,0.10393060889428053,0.0,0.0
rad,Radar outage,21.45980134629791,21.45980134629791,25.202077853368706,25.202077853368706,0.09207849530321881,0.09207849530321881,0.0,0.0
all,All-modal outage,41.58431993969837,41.58431993969837,66.71914680792786,66.71914680792786,0.17303673114184992,0.17303673114184992,0.0,0.0
