projection_gain,position_rmse_m,outage_rmse_m,outage_improvement_m,maximum_projection_change_m
0.0,41.58431993967527,66.71914680788477,4.3087311496492475e-11,2.725212813988241e-09
0.001,41.662259558482944,66.8645351422088,-0.14538833428093767,0.4469222910302408
0.002,41.74163643340509,67.01255921594068,-0.2934124080128271,0.8938445833914855
0.005,41.988308345573266,67.4722708577499,-0.7531240498220484,2.234611457173336
0.01,42.4273939737744,68.28951761350606,-1.5703708055782073,4.469222915224587
0.02,43.406511598873905,70.10723407753872,-3.388087269610864,8.938445833092576
0.05,47.06941777670047,76.85724927712859,-10.138102469200732,22.346114581543336
0.1,55.06486534372122,91.38620633032487,-24.66705952239701,44.69222916429619
0.25,86.39430880926382,147.02891852326997,-80.30977171534211,111.73057291061025
0.5,146.48231816595248,251.99961179000496,-185.2804649820771,223.46114581306367
1.0,272.43048917704766,470.57107497348113,-403.85192816555326,446.9222915697304
