seed,node_id,independent_position_rmse_m,cooperative_position_rmse_m,cooperative_improvement_percent,topology_degree,radar_observation_count,infrared_observation_count,optical_observation_count,mean_relative_nis,mean_radar_nis,mean_infrared_nis,mean_optical_nis,mean_neighbor_range_m,mean_neighbor_los_angle_deg,independent_radial_rmse_m,independent_along_track_rmse_m,independent_cross_track_rmse_m,cooperative_radial_rmse_m,cooperative_along_track_rmse_m,cooperative_cross_track_rmse_m,initial_segment_improvement_percent,steady_segment_improvement_percent
0,sat_p01_s01,1.8466844587084696,1.6542600221900952,10.419995447026823,2,122,122,122,1.824069902558536,1.7589711288095362,1.5774830354206721,2.135755543445399,5830371.235716307,131.275805544026,0.8569961496079974,1.23727001912401,1.0700299011566603,0.7995405745161365,1.2474020335789038,0.7357304243688685,24.53895701283046,0.5758543915403438
0,sat_p01_s02,1.2802970921669894,1.301122064868561,-1.6265734593151353,2,122,122,122,1.8418463374452394,1.4828809894973711,1.9855512308906222,2.0571067919477253,5830371.235716306,131.275805544026,0.7222935594708458,0.5590229412047125,0.8971878339372512,0.8111265560112229,0.6367203481233384,0.7934604817550119,10.096979834203957,-16.863309407726494
0,sat_p02_s01,2.076294985009311,1.741695631264041,16.11521273041891,2,122,122,122,1.8330792372311422,1.1301459311786524,2.1106398214905884,2.2584519590241863,5696680.689606842,130.44735125932112,1.323922937935873,1.4945861838437597,0.5695972772454317,1.3690548774627314,0.6054454290503584,0.8902967184606371,24.072564535105148,7.2995063457640725
0,sat_p02_s02,1.2593592798477238,1.0914850225045365,13.330132237044054,2,122,122,122,1.8769537337434818,1.4798682130447687,1.8090382941772127,2.341954694008463,5696680.689606842,130.4473512593211,0.4870083100665851,1.0085334336999991,0.5759071233922668,0.4465946442896021,0.7490620721503047,0.6563526415803196,12.564296066068367,14.333645475676327
0,sat_p03_s01,1.2840512537943052,1.5445361869694663,-20.286178795857374,2,122,122,122,1.9908221109628874,1.4439968081222188,2.2230266978436086,2.305442826922834,5412750.46053267,128.48288635844995,0.6762317775193438,0.7047041328141744,0.8336007981272441,0.7683905179442214,1.1264427551119847,0.7254617593280233,-23.41681343919962,-5.523911945993599
0,sat_p03_s02,1.3463606856343369,1.3977361314199672,-3.8158753693424177,2,122,122,122,1.9512411429200325,1.3298127475086916,2.0087516261959415,2.5151590550554657,5412750.46053267,128.48288635844995,0.7543435004157008,0.5955025669539573,0.942883700120856,0.6787978161678714,0.7390822075250383,0.9729631587899417,-6.703623797135613,5.524738622511218
0,sat_p04_s01,1.2878867991160177,1.5940667572841,-23.77382533761809,2,122,122,122,1.9289766924593663,1.781627101270177,1.9170900239163995,2.0882129521915225,5074540.099114013,125.70578861559211,0.616189436519459,0.7560871242040607,0.8410084697979959,1.117466063843832,0.8101895189482389,0.7974405095190741,-7.325155125328945,-44.40094359419577
0,sat_p04_s02,1.8021757719104026,1.397556301749986,22.451720662713072,2,122,122,122,1.734735360210723,1.2286671536275875,1.9376226746715626,2.037916252333018,5074540.099114014,125.70578861559208,0.6192346414067486,0.6724370989150429,1.5531304902503948,0.5746265504707536,0.5574753120432785,1.1455082804228998,25.838566081560803,15.56508452020745
0,sat_p05_s01,2.2937728275882514,1.7127678042729955,25.329667189673,2,122,122,122,1.9634147488320695,1.959348088973252,2.02642233155535,1.904473825967606,4813253.302009773,123.15426500067423,1.628261528472193,1.4044340989556567,0.7985756327175351,1.039275942380027,0.7608613688410195,1.1289681325660237,20.158443862260686,41.40605058382322
0,sat_p05_s02,1.6601540105533894,1.3741598597100078,17.22696503007269,2,122,122,122,2.1575516057048456,1.6528342672981036,2.3204684015403907,2.499352148276042,4813253.302009774,123.15426500067424,0.805491671309103,0.8895848613222171,1.1471413516714073,0.7067402010921877,0.4892053759180074,1.0721528381584984,17.6858382740516,16.502254410013318
