seed,method,rmse_deg,outage_rmse_deg,reacquisition_time_s
0,measurement_hold,2.358625578474573,3.8951940402933873,10.0
0,ordinary_integration,2.887906333671075,2.5295522488064623,
0,gated_complementary,0.6457913297632152,1.0818676290560016,10.0
0,gated_cann,0.6436320323237634,1.0777420916697522,10.0
0,bias_adaptive_cann,0.4395732886979563,0.7387649709567721,10.0
0,gated_pll,0.2906522522285067,0.4819398423168836,10.0
0,circular_kalman,0.3623499265199503,0.6052734281138828,10.0
1,measurement_hold,2.35967914638732,3.895678528211338,10.0
1,ordinary_integration,2.5164718129239536,2.2507430615873107,
1,gated_complementary,0.7375200365039171,1.233089825264771,10.0
1,gated_cann,0.7411289944278224,1.2388360293133276,10.0
1,bias_adaptive_cann,0.4361407014643953,0.7167116928091718,10.0
1,gated_pll,0.4236299938851503,0.7018488264109022,10.0
1,circular_kalman,0.47401245353866645,0.7839591800974792,10.0
2,measurement_hold,2.357822549572973,3.8936422035246685,10.0
2,ordinary_integration,2.6564210232340018,2.301431769020979,
2,gated_complementary,0.5228350542947064,0.8641886919983351,10.0
2,gated_cann,0.5295835954574915,0.8752767899152414,10.0
2,bias_adaptive_cann,0.20139175500234024,0.3181263894214697,2.0
2,gated_pll,0.13400163509032417,0.19185619902330978,2.0
2,circular_kalman,0.23603229874617324,0.38081839083774743,10.0
3,measurement_hold,2.3666526877850367,3.90781005696613,10.0
3,ordinary_integration,3.6124020858830255,3.207986510622098,
3,gated_complementary,0.736277273815956,1.2421740355816453,10.0
3,gated_cann,0.74093528556379,1.249336506971042,10.0
3,bias_adaptive_cann,0.3089449570723658,0.5145264424198642,10.0
3,gated_pll,0.16647235068745728,0.254895516721174,2.0
3,circular_kalman,0.275679940795509,0.4549811143051606,10.0
4,measurement_hold,2.354096485272973,3.8873415984926334,10.0
4,ordinary_integration,3.2179344508958723,2.9531638490137966,
4,gated_complementary,0.40211392366882537,0.6607754934168484,10.0
4,gated_cann,0.4110261742624839,0.6750867678939754,10.0
4,bias_adaptive_cann,0.7911135627152711,1.345043759868868,10.0
4,gated_pll,0.6216471041525619,1.0570498201356266,10.0
4,circular_kalman,0.7371842728041655,1.2537176818570062,10.0
5,measurement_hold,2.349246174401747,3.87821297058876,10.0
5,ordinary_integration,2.9536091227907724,2.492756416334391,
5,gated_complementary,0.6410633198100417,1.086703375475435,10.0
5,gated_cann,0.6394724133104603,1.083102252170345,10.0
5,bias_adaptive_cann,0.16753083016362555,0.2519699596410683,2.0
5,gated_pll,0.12487502585176852,0.17559693172591456,2.0
5,circular_kalman,0.12036800664813627,0.15377055822351657,2.0
6,measurement_hold,2.3664441620781265,3.908122639054229,10.0
6,ordinary_integration,3.0508089400434937,2.74338633848818,
6,gated_complementary,0.5310507555124478,0.8861244082069885,10.0
6,gated_cann,0.5317679990920474,0.8869907599986481,10.0
6,bias_adaptive_cann,0.14614000201602956,0.09022876218812294,2.0
6,gated_pll,0.16737909591497038,0.1828337256733345,2.0
6,circular_kalman,0.15439684353672595,0.12876748803237212,2.0
7,measurement_hold,2.3553173368945677,3.888212165108876,10.0
7,ordinary_integration,1.9369551702932817,1.607942252348605,
7,gated_complementary,0.39970510478970905,0.668668424904582,10.0
7,gated_cann,0.40457653741983435,0.6770226337102487,10.0
7,bias_adaptive_cann,0.2106762868819973,0.3492789295131036,10.0
7,gated_pll,0.1126329721368358,0.18087337133074644,2.0
7,circular_kalman,0.14820815041006866,0.24077633948342347,2.0
8,measurement_hold,2.3607489754359614,3.8995826622869614,10.0
8,ordinary_integration,3.106125346981069,2.78944630936984,
8,gated_complementary,0.6944552607230219,1.1759690904050477,10.0
8,gated_cann,0.6969127557653575,1.1798823081000327,10.0
8,bias_adaptive_cann,0.11412907717698893,0.1822539341508472,2.0
8,gated_pll,0.127248572846826,0.20685234971818398,2.0
8,circular_kalman,0.11511358539283838,0.18409164229163172,2.0
9,measurement_hold,2.3430145406531127,3.86620635751487,10.0
9,ordinary_integration,3.217090587443876,2.846575117053054,
9,gated_complementary,0.695581061505345,1.1607382671620035,10.0
9,gated_cann,0.6914923628977656,1.1533461702946444,10.0
9,bias_adaptive_cann,0.2893491820213686,0.4655978806278833,10.0
9,gated_pll,0.18980016955800655,0.29153555295701605,2.0
9,circular_kalman,0.1920721090930256,0.2840697707613018,4.0
