time_s,truth_phase_rad,measured_rate_rad_s,phase_hint_rad,hint_available,hint_accepted,mode,decoded_phase_rad,truth_error_rad,bump_concentration
228.0,0.9488674307708528,0.0009365844610170428,nan,0,0,cann_no_cue,0.9699111554226841,0.021043724651831575,0.796170662393152
228.0,0.9488674307708528,0.0009365844610170428,nan,0,0,cann_sparse_cue,0.9548921097858705,0.0060246790150175755,0.7961706623931517
228.0,0.9488674307708528,0.0009365844610170428,nan,0,0,cann_gated_cue,0.9548921059939048,0.006024675223052167,0.7961706623931519
230.0,0.9504392603002265,0.0008248182507391501,nan,0,0,dead_reckoning,0.9717843246496018,0.02134506434937533,
230.0,0.9504392603002265,0.0008248182507391501,nan,0,0,cann_no_cue,0.97178432434465,0.021345064044423268,0.7961706624022471
230.0,0.9504392603002265,0.0008248182507391501,nan,0,0,cann_sparse_cue,0.9567652787078367,0.006326018407610157,0.7961706624022474
230.0,0.9504392603002265,0.0008248182507391501,nan,0,0,cann_gated_cue,0.9567652749158707,0.006326014615644304,0.7961706624022471
232.0,0.9520129249558993,0.0010444426020351308,nan,0,0,dead_reckoning,0.9734339611510802,0.021421036195180765,
232.0,0.9520129249558993,0.0010444426020351308,nan,0,0,cann_no_cue,0.9734339608460812,0.021421035890182072,0.7961706623960172
232.0,0.9520129249558993,0.0010444426020351308,nan,0,0,cann_sparse_cue,0.9584149152092677,0.006401990253368517,0.7961706623960172
232.0,0.9520129249558993,0.0010444426020351308,nan,0,0,cann_gated_cue,0.9584149114173017,0.0064019864614026645,0.7961706623960171
234.0,0.9535893382760197,0.0010927045864313248,nan,0,0,dead_reckoning,0.9755228463551504,0.021933508079130526,
234.0,0.9535893382760197,0.0010927045864313248,nan,0,0,cann_no_cue,0.9755228460500567,0.021933507774036798,0.7961706624090094
234.0,0.9535893382760197,0.0010927045864313248,nan,0,0,cann_sparse_cue,0.9605038004132428,0.006914462137223243,0.7961706624090092
234.0,0.9535893382760197,0.0010927045864313248,nan,0,0,cann_gated_cue,0.9605037966212774,0.0069144583452578345,0.7961706624090092
236.0,0.9551694089766456,0.0008961505068497881,nan,0,0,dead_reckoning,0.977708255528013,0.02253884655136762,
236.0,0.9551694089766456,0.0008961505068497881,nan,0,0,cann_no_cue,0.9777082552228096,0.022538846246163757,0.7961706624122735
236.0,0.9551694089766456,0.0008961505068497881,nan,0,0,cann_sparse_cue,0.9626892095859957,0.007519800609350202,0.7961706624122736
236.0,0.9551694089766456,0.0008961505068497881,nan,0,0,cann_gated_cue,0.9626892057940304,0.007519796817384794,0.7961706624122735
238.0,0.956754039357546,0.000670426768984243,nan,0,0,dead_reckoning,0.9795005565417126,0.02274651718416676,
238.0,0.956754039357546,0.000670426768984243,nan,0,0,cann_no_cue,0.9795005562364479,0.022746516878902057,0.7961706623999019
238.0,0.956754039357546,0.000670426768984243,nan,0,0,cann_sparse_cue,0.9644815105996343,0.007727471242088058,0.796170662399902
238.0,0.956754039357546,0.000670426768984243,nan,0,0,cann_gated_cue,0.9644815068076688,0.007727467450122649,0.796170662399902
240.0,0.9583441237192618,0.0011790586374747995,nan,0,0,dead_reckoning,0.9808414100796812,0.022497286360419366,
240.0,0.9583441237192618,0.0011790586374747995,nan,0,0,cann_no_cue,0.9808414097743913,0.02249728605512935,0.7961706623887109
240.0,0.9583441237192618,0.0011790586374747995,nan,0,0,cann_sparse_cue,0.9658223641375776,0.007478240418315796,0.7961706623887111
240.0,0.9583441237192618,0.0011790586374747995,nan,0,0,cann_gated_cue,0.9658223603456121,0.0074782366263503874,0.7961706623887111
242.0,0.9599405467941982,0.0011342777353701484,nan,0,0,dead_reckoning,0.9831995273546308,0.02325898056043263,
242.0,0.9599405467941982,0.0011342777353701484,nan,0,0,cann_no_cue,0.9831995270492051,0.023258980255007167,0.7961706624184819
242.0,0.9599405467941982,0.0011342777353701484,nan,0,0,cann_sparse_cue,0.9681804814123915,0.008239934618193168,0.7961706624184818
242.0,0.9599405467941982,0.0011342777353701484,nan,0,0,cann_gated_cue,0.9681804776204257,0.008239930826227315,0.7961706624184818
244.0,0.961544182194503,0.000897440348941347,nan,0,0,dead_reckoning,0.985468082825371,0.023923900630868022,
244.0,0.961544182194503,0.000897440348941347,nan,0,0,cann_no_cue,0.9854680825198221,0.023923900325319103,0.7961706624152035
244.0,0.961544182194503,0.000897440348941347,nan,0,0,cann_sparse_cue,0.9704490368830084,0.008904854688505548,0.7961706624152035
