projection_gain,position_rmse_m,outage_rmse_m,outage_improvement_m,maximum_projection_change_m
0.0,41.58431993967527,66.71914680788477,4.3087311496492475e-11,2.725212813988241e-09
0.001,41.57581023200667,66.70327014244013,0.01587666548772404,0.05013976308623498
0.002,41.56731743291643,66.68742449571373,0.03172231221412858,0.10027952751588615
0.005,41.54194059111563,66.64007388964157,0.07907291828628615,0.250698818248123
0.01,41.49998499240262,66.56177864878516,0.15736815914269187,0.5013976349301859
0.02,41.41735018266581,66.40753217473727,0.3116146331905867,1.0027952712921417
0.05,41.179747875324786,65.96373963557438,0.7554071723534719,2.5069881776886183
0.1,40.81867111797628,65.28850209688143,1.4306447110464262,5.013976356556228
0.25,40.00748156708842,63.76776744250375,2.95137936542411,12.53494089029775
0.5,39.608700574715805,63.01817883621444,3.7009679717134176,25.069881782090558
1.0,42.38010513328498,68.20156536685656,-1.4824185589286998,50.13976356367813
