seed,decision_epoch,action_id,action_kind,added_edges,removed_edges,lookahead_steps,final_position_rmse,position_rmse_reduction_vs_keep,transmitted_messages,replay_count,resynchronization_count,topology_switch_count
0,27,0,keep,,,2,0.7427381529077716,0.0,37.0,37.0,0.0,0.0
0,27,1,add,sat_p02_s01|sat_p05_s04,,2,0.7464842735887127,-0.0037461206809411562,39.0,39.0,2.0,1.0
0,27,2,swap,sat_p02_s01|sat_p05_s04,sat_p01_s02|sat_p02_s01,2,0.7473261135887102,-0.004587960680938585,37.0,37.0,2.0,1.0
0,27,3,swap,sat_p02_s01|sat_p05_s04,sat_p01_s02|sat_p05_s04,2,0.7477880763506884,-0.0050499234429168816,37.0,37.0,2.0,1.0
0,27,4,add,sat_p02_s02|sat_p04_s04,,2,0.742059548754501,0.00067860415327059,39.0,38.0,2.0,1.0
0,27,5,swap,sat_p02_s02|sat_p04_s04,sat_p02_s02|sat_p03_s01,2,0.7416155786955806,0.0011225742121909743,37.0,36.0,2.0,1.0
0,27,6,swap,sat_p02_s02|sat_p04_s04,sat_p03_s01|sat_p04_s04,2,0.7443067762618233,-0.0015686233540517236,37.0,36.0,2.0,1.0
0,27,7,add,sat_p02_s03|sat_p03_s02,,2,0.7429981342097368,-0.0002599813019652508,39.0,39.0,2.0,1.0
0,27,8,swap,sat_p02_s03|sat_p03_s02,sat_p01_s01|sat_p03_s02,2,0.7418145003312178,0.0009236525765538017,37.0,37.0,2.0,1.0
0,27,9,swap,sat_p02_s03|sat_p03_s02,sat_p01_s01|sat_p04_s01,2,0.7408483669066198,0.0018897860011517498,38.0,37.0,2.0,1.0
0,27,10,swap,sat_p02_s03|sat_p03_s02,sat_p01_s02|sat_p02_s01,2,0.7436860632631096,-0.000947910355338033,37.0,37.0,2.0,1.0
0,27,11,swap,sat_p02_s03|sat_p03_s02,sat_p01_s02|sat_p05_s04,2,0.7442040584547086,-0.0014659055469370408,37.0,37.0,2.0,1.0
0,27,12,swap,sat_p02_s03|sat_p03_s02,sat_p01_s03|sat_p03_s04,2,0.742488658939868,0.00024949396790352463,37.0,37.0,2.0,1.0
0,27,13,swap,sat_p02_s03|sat_p03_s02,sat_p01_s03|sat_p04_s03,2,0.744476675648488,-0.0017385227407163972,37.0,37.0,2.0,1.0
0,27,14,swap,sat_p02_s03|sat_p03_s02,sat_p01_s04|sat_p02_s03,2,0.7417695565750342,0.0009685963327373814,37.0,37.0,2.0,1.0
0,27,15,swap,sat_p02_s03|sat_p03_s02,sat_p01_s04|sat_p05_s02,2,0.7440232081034712,-0.001285055195699658,37.0,37.0,2.0,1.0
0,27,16,swap,sat_p02_s03|sat_p03_s02,sat_p02_s01|sat_p03_s04,2,0.7438499057250109,-0.0011117528172392976,37.0,37.0,2.0,1.0
0,27,17,swap,sat_p02_s03|sat_p03_s02,sat_p04_s01|sat_p05_s04,2,0.7424902102797707,0.0002479426280008745,37.0,37.0,2.0,1.0
0,27,18,swap,sat_p02_s03|sat_p03_s02,sat_p04_s03|sat_p05_s02,2,0.7441969599409198,-0.0014588070331482683,37.0,37.0,2.0,1.0
0,27,19,add,sat_p02_s03|sat_p05_s02,,2,0.7408793857326226,0.0018587671751489898,39.0,39.0,2.0,1.0
0,27,20,swap,sat_p02_s03|sat_p05_s02,sat_p01_s04|sat_p02_s03,2,0.739680424239773,0.0030577286679985827,37.0,37.0,2.0,1.0
0,27,21,swap,sat_p02_s03|sat_p05_s02,sat_p01_s04|sat_p05_s02,2,0.7419437224224206,0.0007944304853509943,37.0,37.0,2.0,1.0
0,27,22,add,sat_p02_s04|sat_p04_s01,,2,0.7395412696016639,0.0031968833061076785,39.0,38.0,2.0,1.0
0,27,23,swap,sat_p02_s04|sat_p04_s01,sat_p01_s02|sat_p02_s01,2,0.7402324112714012,0.0025057416363704066,37.0,36.0,2.0,1.0
0,27,24,swap,sat_p02_s04|sat_p04_s01,sat_p01_s02|sat_p05_s04,2,0.7407528215439683,0.0019853313638033,37.0,36.0,2.0,1.0
0,27,25,swap,sat_p02_s04|sat_p04_s01,sat_p02_s01|sat_p03_s04,2,0.7403970179923731,0.002341134915398446,37.0,36.0,2.0,1.0
0,27,26,swap,sat_p02_s04|sat_p04_s01,sat_p02_s04|sat_p03_s03,2,0.7394832041885608,0.0032549487192107263,37.0,36.0,2.0,1.0
0,27,27,swap,sat_p02_s04|sat_p04_s01,sat_p03_s03|sat_p04_s02,2,0.7392956426465064,0.003442510261265186,37.0,36.0,2.0,1.0
0,27,28,swap,sat_p02_s04|sat_p04_s01,sat_p03_s04|sat_p05_s01,2,0.7395412621885405,0.003196890719231016,37.0,36.0,2.0,1.0
0,27,29,swap,sat_p02_s04|sat_p04_s01,sat_p04_s01|sat_p05_s04,2,0.7390073786916833,0.0037307742160882507,37.0,36.0,2.0,1.0
