seed,decision_epoch,action_id,action_kind,added_edges,removed_edges,lookahead_steps,final_position_rmse,position_rmse_reduction_vs_keep,transmitted_messages,replay_count,resynchronization_count,topology_switch_count
0,23,34,swap,sat_p02_s03|sat_p05_s02,sat_p01_s04|sat_p05_s02,2,0.703052732305762,0.002777755698368134,37.0,37.0,2.0,1.0
0,23,35,add,sat_p02_s04|sat_p04_s01,,2,0.7011751824675502,0.004655305536580001,39.0,38.0,2.0,1.0
0,23,36,swap,sat_p02_s04|sat_p04_s01,sat_p01_s02|sat_p02_s01,2,0.7049006461983516,0.0009298418057785973,37.0,36.0,2.0,1.0
0,23,37,swap,sat_p02_s04|sat_p04_s01,sat_p01_s02|sat_p05_s04,2,0.7004698911419559,0.005360596862174272,37.0,36.0,2.0,1.0
0,23,38,swap,sat_p02_s04|sat_p04_s01,sat_p02_s01|sat_p03_s04,2,0.7044421606504062,0.0013883273537239615,37.0,36.0,2.0,1.0
0,23,39,swap,sat_p02_s04|sat_p04_s01,sat_p02_s04|sat_p03_s03,2,0.701045442218715,0.004785045785415165,37.0,36.0,2.0,1.0
0,23,40,swap,sat_p02_s04|sat_p04_s01,sat_p03_s03|sat_p04_s02,2,0.7018336047849273,0.003996883219202885,37.0,37.0,2.0,1.0
0,23,41,swap,sat_p02_s04|sat_p04_s01,sat_p03_s04|sat_p05_s01,2,0.7011751824675502,0.004655305536580001,37.0,36.0,2.0,1.0
0,23,42,swap,sat_p02_s04|sat_p04_s01,sat_p04_s01|sat_p05_s04,2,0.699980288535279,0.005850199468851125,37.0,36.0,2.0,1.0
0,23,43,swap,sat_p02_s04|sat_p04_s01,sat_p04_s02|sat_p05_s01,2,0.6993172272822905,0.006513260721839664,37.0,36.0,2.0,1.0
0,23,44,add,sat_p02_s04|sat_p04_s02,,2,0.7047420040381864,0.0010884839659437429,39.0,39.0,2.0,1.0
0,23,45,swap,sat_p02_s04|sat_p04_s02,sat_p02_s04|sat_p03_s03,2,0.7046448599632917,0.0011856280408384379,37.0,37.0,2.0,1.0
0,23,46,swap,sat_p02_s04|sat_p04_s02,sat_p03_s03|sat_p04_s02,2,0.7053679642377974,0.000462523766332823,37.0,38.0,2.0,1.0
0,23,47,add,sat_p03_s01|sat_p05_s03,,2,0.7026284603802554,0.0032020276238747813,39.0,39.0,2.0,1.0
0,23,48,swap,sat_p03_s01|sat_p05_s03,sat_p03_s01|sat_p04_s04,2,0.7028539124040312,0.0029765756000990073,37.0,37.0,2.0,1.0
0,23,49,swap,sat_p03_s01|sat_p05_s03,sat_p04_s04|sat_p05_s03,2,0.706464743971731,-0.0006342559676008053,37.0,37.0,2.0,1.0
0,23,50,add,sat_p03_s03|sat_p05_s01,,2,0.7097423769659748,-0.0039118889618445785,39.0,39.0,2.0,1.0
0,23,51,swap,sat_p03_s03|sat_p05_s01,sat_p03_s03|sat_p04_s02,2,0.7103981905646802,-0.004567702560550058,37.0,38.0,2.0,1.0
0,23,52,swap,sat_p03_s03|sat_p05_s01,sat_p04_s02|sat_p05_s01,2,0.708018918785055,-0.0021884307809247883,37.0,37.0,2.0,1.0
