method,runs,successful_runs,failure_rate,position_rmse_mean,position_rmse_std,position_rmse_p05,position_rmse_p50,position_rmse_p95,velocity_rmse_mean,velocity_rmse_std,velocity_rmse_p05,velocity_rmse_p50,velocity_rmse_p95,mean_angle_nis_mean,mean_angle_nis_std,mean_angle_nis_p05,mean_angle_nis_p50,mean_angle_nis_p95,mean_orbit_nees_mean,mean_orbit_nees_std,mean_orbit_nees_p05,mean_orbit_nees_p50,mean_orbit_nees_p95,mean_attitude_error_deg_mean,mean_attitude_error_deg_std,mean_attitude_error_deg_p05,mean_attitude_error_deg_p50,mean_attitude_error_deg_p95,position_rmse_win_rate,velocity_rmse_win_rate,angle_nis_consistency_win_rate
truth_attitude,30,30,0.0,0.4022307418510228,0.021853782403984282,0.37335487338819995,0.40008685985387116,0.4382306993150018,0.0019262357265382292,0.0004023318896450537,0.0013326643499261778,0.0019452826546415944,0.0026416920871959143,1.8951786806576991,0.11396422991439388,1.7540575848893836,1.8929646832375149,2.069171401665043,0.0012887238823476959,0.00044233482918692643,0.0006920703930038179,0.0012640486043789026,0.002182014870036147,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,,,
mekf_with_covariance,30,30,0.0,0.4070566822479164,0.01760936170112069,0.38782552087103084,0.4040815737281811,0.44063730474492185,0.002419986707970319,0.000388468471053777,0.0017885785530515098,0.0024691775819819257,0.0030129556483326904,1.2870218691552677,0.22034253617260585,0.9780976767588703,1.2826396203402037,1.7176039853265581,0.0019040355866137742,0.0005329871307215338,0.0011010686355765599,0.0019412305532447438,0.0026978108007448976,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,,,
mekf_without_covariance,30,30,0.0,0.4099801009795779,0.025647941854572445,0.37326009079213784,0.40524709581398477,0.45386303687440305,0.0024722051481707095,0.00034564925811205393,0.0018942848642037337,0.002488007477640887,0.0029540912188663476,6.180102354741147,0.9961975975195626,4.768537073545288,6.044803897868762,7.90960799195666,0.0020079945729106815,0.0004792349791294301,0.0012444618547327387,0.0019893669254847845,0.0027153148639310963,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,,,
paired_covariance_effect,30,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6333333333333333,0.7666666666666667,1.0
