seed,decision_epoch,action_id,action_kind,added_edges,removed_edges,lookahead_steps,final_position_rmse,position_rmse_reduction_vs_keep,transmitted_messages,replay_count,resynchronization_count,topology_switch_count
0,0,0,keep,,,2,1.7995241279679588,0.0,35.0,38.0,0.0,0.0
0,0,1,add,sat_p02_s01|sat_p05_s04,,2,1.7975122023030714,0.002011925664887393,37.0,40.0,2.0,1.0
0,0,2,swap,sat_p02_s01|sat_p05_s04,sat_p01_s02|sat_p02_s01,2,1.7938078418801893,0.005716286087769529,35.0,38.0,2.0,1.0
0,0,3,swap,sat_p02_s01|sat_p05_s04,sat_p01_s02|sat_p05_s04,2,1.7927191294186564,0.006804998549302388,36.0,38.0,2.0,1.0
0,0,4,add,sat_p02_s02|sat_p04_s03,,2,1.775839245836083,0.023684882131875806,37.0,40.0,2.0,1.0
0,0,5,swap,sat_p02_s02|sat_p04_s03,sat_p01_s01|sat_p03_s02,2,1.7808617230887358,0.018662404879222994,35.0,38.0,2.0,1.0
0,0,6,swap,sat_p02_s02|sat_p04_s03,sat_p01_s01|sat_p04_s01,2,1.749058637677101,0.050465490290857895,36.0,38.0,2.0,1.0
0,0,7,swap,sat_p02_s02|sat_p04_s03,sat_p01_s02|sat_p02_s01,2,1.77074680996948,0.028777317998478713,35.0,38.0,2.0,1.0
0,0,8,swap,sat_p02_s02|sat_p04_s03,sat_p01_s02|sat_p05_s04,2,1.7746829923209078,0.024841135647051038,36.0,38.0,2.0,1.0
0,0,9,swap,sat_p02_s02|sat_p04_s03,sat_p01_s03|sat_p03_s04,2,1.779545367774145,0.019978760193813727,35.0,38.0,2.0,1.0
0,0,10,swap,sat_p02_s02|sat_p04_s03,sat_p01_s03|sat_p04_s03,2,1.777445170533908,0.02207895743405075,35.0,38.0,2.0,1.0
0,0,11,swap,sat_p02_s02|sat_p04_s03,sat_p02_s01|sat_p03_s04,2,1.7767820227582796,0.02274210520967923,35.0,38.0,2.0,1.0
0,0,12,swap,sat_p02_s02|sat_p04_s03,sat_p02_s02|sat_p03_s01,2,1.7551273310921884,0.04439679687577036,35.0,38.0,2.0,1.0
0,0,13,swap,sat_p02_s02|sat_p04_s03,sat_p03_s01|sat_p04_s04,2,1.7917686240371051,0.007755503930853669,35.0,38.0,2.0,1.0
0,0,14,swap,sat_p02_s02|sat_p04_s03,sat_p03_s02|sat_p05_s03,2,1.7653298509110422,0.03419427705691658,35.0,38.0,2.0,1.0
0,0,15,swap,sat_p02_s02|sat_p04_s03,sat_p04_s01|sat_p05_s04,2,1.7612718894491128,0.03825223851884596,35.0,38.0,2.0,1.0
0,0,16,swap,sat_p02_s02|sat_p04_s03,sat_p04_s04|sat_p05_s03,2,1.7605421822346323,0.03898194573332647,36.0,38.0,2.0,1.0
0,0,17,add,sat_p02_s02|sat_p04_s04,,2,1.7923474227186564,0.007176705249302362,37.0,39.0,2.0,1.0
0,0,18,swap,sat_p02_s02|sat_p04_s04,sat_p02_s02|sat_p03_s01,2,1.7723817745256918,0.02714235344226701,35.0,37.0,2.0,1.0
0,0,19,swap,sat_p02_s02|sat_p04_s04,sat_p03_s01|sat_p04_s04,2,1.8087541542360435,-0.009230026268084668,35.0,37.0,2.0,1.0
0,0,20,add,sat_p02_s03|sat_p03_s02,,2,1.7965146533159542,0.003009474652004629,37.0,40.0,2.0,1.0
0,0,21,swap,sat_p02_s03|sat_p03_s02,sat_p01_s01|sat_p03_s02,2,1.7972562217128358,0.0022679062551229645,35.0,38.0,2.0,1.0
0,0,22,swap,sat_p02_s03|sat_p03_s02,sat_p01_s01|sat_p04_s01,2,1.7700468893676664,0.029477238600292388,36.0,38.0,2.0,1.0
0,0,23,swap,sat_p02_s03|sat_p03_s02,sat_p01_s02|sat_p02_s01,2,1.7914809900036244,0.008043137964334424,35.0,38.0,2.0,1.0
0,0,24,swap,sat_p02_s03|sat_p03_s02,sat_p01_s02|sat_p05_s04,2,1.795371715205619,0.004152412762339797,36.0,38.0,2.0,1.0
0,0,25,swap,sat_p02_s03|sat_p03_s02,sat_p01_s03|sat_p03_s04,2,1.8001782102041155,-0.0006540822361567056,35.0,38.0,2.0,1.0
0,0,26,swap,sat_p02_s03|sat_p03_s02,sat_p01_s03|sat_p04_s03,2,1.7983410046031987,0.0011831233647601191,35.0,38.0,2.0,1.0
0,0,27,swap,sat_p02_s03|sat_p03_s02,sat_p01_s04|sat_p02_s03,2,1.7993046925155924,0.00021943545236635664,35.0,38.0,2.0,1.0
0,0,28,swap,sat_p02_s03|sat_p03_s02,sat_p01_s04|sat_p05_s02,2,1.8075791713871883,-0.008055043419229468,35.0,38.0,2.0,1.0
0,0,29,swap,sat_p02_s03|sat_p03_s02,sat_p02_s01|sat_p03_s04,2,1.797446585833437,0.002077542134521826,35.0,38.0,2.0,1.0
0,0,30,swap,sat_p02_s03|sat_p03_s02,sat_p04_s01|sat_p05_s04,2,1.782116309641692,0.0174078183262667,35.0,38.0,2.0,1.0
0,0,31,swap,sat_p02_s03|sat_p03_s02,sat_p04_s03|sat_p05_s02,2,1.794568323931244,0.004955804036714806,35.0,38.0,2.0,1.0
0,0,32,add,sat_p02_s03|sat_p05_s02,,2,1.7919268600497644,0.0075972679181943725,37.0,40.0,2.0,1.0
0,0,33,swap,sat_p02_s03|sat_p05_s02,sat_p01_s04|sat_p02_s03,2,1.794019211065779,0.005504916902179691,35.0,38.0,2.0,1.0
0,0,34,swap,sat_p02_s03|sat_p05_s02,sat_p01_s04|sat_p05_s02,2,1.8032451180726825,-0.0037209901047237093,35.0,38.0,2.0,1.0
0,0,35,add,sat_p02_s04|sat_p04_s01,,2,1.7916676479840055,0.007856479983953335,37.0,39.0,2.0,1.0
0,0,36,swap,sat_p02_s04|sat_p04_s01,sat_p01_s02|sat_p02_s01,2,1.7866203286646998,0.012903799303259023,35.0,37.0,2.0,1.0
0,0,37,swap,sat_p02_s04|sat_p04_s01,sat_p01_s02|sat_p05_s04,2,1.7905216159024613,0.009002512065497514,36.0,37.0,2.0,1.0
0,0,38,swap,sat_p02_s04|sat_p04_s01,sat_p02_s01|sat_p03_s04,2,1.792602100349621,0.006922027618337712,35.0,37.0,2.0,1.0
0,0,39,swap,sat_p02_s04|sat_p04_s01,sat_p02_s04|sat_p03_s03,2,1.7876003489234726,0.01192377904448616,35.0,37.0,2.0,1.0
0,0,40,swap,sat_p02_s04|sat_p04_s01,sat_p03_s03|sat_p04_s02,2,1.7967470338205653,0.0027770941473934663,35.0,37.0,2.0,1.0
0,0,41,swap,sat_p02_s04|sat_p04_s01,sat_p03_s04|sat_p05_s01,2,1.79761040363983,0.001913724328128863,35.0,37.0,2.0,1.0
0,0,42,swap,sat_p02_s04|sat_p04_s01,sat_p04_s01|sat_p05_s04,2,1.7766842053287928,0.02283992263916601,35.0,37.0,2.0,1.0
0,0,43,swap,sat_p02_s04|sat_p04_s01,sat_p04_s02|sat_p05_s01,2,1.7733236108029398,0.026200517165019033,35.0,37.0,2.0,1.0
0,0,44,add,sat_p02_s04|sat_p04_s02,,2,1.8028977433336695,-0.0033736153657106804,37.0,40.0,2.0,1.0
0,0,45,swap,sat_p02_s04|sat_p04_s02,sat_p02_s04|sat_p03_s03,2,1.798034474318575,0.0014896536493838042,35.0,38.0,2.0,1.0
0,0,46,swap,sat_p02_s04|sat_p04_s02,sat_p03_s03|sat_p04_s02,2,1.8072152904750107,-0.00769116250705193,35.0,38.0,2.0,1.0
0,0,47,add,sat_p03_s01|sat_p05_s03,,2,1.7968760041675458,0.002648123800413016,37.0,40.0,2.0,1.0
0,0,48,swap,sat_p03_s01|sat_p05_s03,sat_p03_s01|sat_p04_s04,2,1.811921103404765,-0.01239697543680629,35.0,38.0,2.0,1.0
0,0,49,swap,sat_p03_s01|sat_p05_s03,sat_p04_s04|sat_p05_s03,2,1.7831090020628497,0.016415125905109074,36.0,38.0,2.0,1.0
0,0,50,add,sat_p03_s03|sat_p05_s01,,2,1.7885119713914366,0.011012156576522214,37.0,40.0,2.0,1.0
0,0,51,swap,sat_p03_s03|sat_p05_s01,sat_p03_s03|sat_p04_s02,2,1.7924500376020949,0.007074090365863928,35.0,38.0,2.0,1.0
0,0,52,swap,sat_p03_s03|sat_p05_s01,sat_p04_s02|sat_p05_s01,2,1.7667955806398496,0.03272854732810915,35.0,38.0,2.0,1.0
