condition,node_count,seed,passed,runtime_seconds,position_rmse_m,mean_nees,nees_95_coverage,minimum_covariance_eigenvalue,resynchronization_count,protocol_rejection_count,dropped_message_count,absolute_observation_count,suppressed_absolute_observation_count,target_node_position_rmse_m,target_pre_dropout_rmse_m,target_dropout_rmse_m,target_post_recovery_rmse_m,navigation_dropout_node_count,affected_nodes_position_rmse_m,affected_nodes_dropout_rmse_m,affected_nodes_post_recovery_rmse_m,failure_reasons
normal,5,0,True,0.674542200009455,1.5233639582288134,5.095091933233108,1.0,7.326367359095348e-05,0,0,0,55,0,1.0789845938276363,1.4930512033900007,0.9619171946682924,0.7052791778356775,0,1.0789845938276363,0.9619171946682924,0.7052791778356775,
normal,5,1,True,0.5843638999940595,2.4861012581219333,10.744865855044253,0.7818181818181819,7.326366863814957e-05,0,0,0,55,0,2.6959182618162654,3.9374345558556603,2.2232776558846785,1.705162523790586,0,2.6959182618162654,2.2232776558846785,1.705162523790586,
normal,5,2,True,0.5673087000031956,1.75473588742151,5.640310454321641,0.9454545454545454,7.326371770790291e-05,0,0,0,55,0,1.7225456683054592,1.855529420674923,1.6793502842863655,1.6541608339520453,0,1.7225456683054592,1.6793502842863655,1.6541608339520453,
normal,10,0,True,1.0975709000049392,2.2942053864080347,7.425052588582577,0.9090909090909091,7.325014994468716e-05,0,0,0,110,0,2.572304104807687,4.311873532747908,1.6333173720131402,1.1058698247503196,0,2.572304104807687,1.6333173720131402,1.1058698247503196,
normal,10,1,True,1.0964475000073435,1.8698042132707362,7.675090308871867,0.9454545454545454,7.324977629281618e-05,0,0,0,110,0,1.3933760306492966,2.1428153912547674,1.11395299741679,0.6775038955370589,0,1.3933760306492966,1.11395299741679,0.6775038955370589,
normal,10,2,True,1.104166899996926,1.8829417183276944,6.394160284538693,0.9363636363636364,7.324990482304207e-05,0,0,0,110,0,2.9818203179230456,4.05407703422727,2.57333439715537,2.264722580207397,0,2.9818203179230456,2.57333439715537,2.264722580207397,
normal,20,0,True,2.2855844000005163,1.864319386851283,6.6459849066407335,0.9363636363636364,7.324861637257634e-05,0,0,0,220,0,1.6282994732529186,2.20424049630993,1.617846085931977,0.7075291831455969,0,1.6282994732529186,1.617846085931977,0.7075291831455969,
normal,20,1,True,2.3836590999999316,1.9100344807087817,6.585517096278618,0.9136363636363637,7.324867616415879e-05,0,0,0,220,0,1.883607534085963,2.4627318584471576,1.7007685080570116,1.4571134201215878,0,1.883607534085963,1.7007685080570116,1.4571134201215878,
normal,20,2,True,2.5067379000101937,2.0342390396798757,7.596982625013204,0.9363636363636364,7.32485842374892e-05,0,0,0,220,0,2.7929165020314315,4.324327140142397,1.9907939982355847,1.8155338148456366,0,2.7929165020314315,1.9907939982355847,1.8155338148456366,
link_outage_recovery,5,0,True,0.585278999991715,1.564339830479107,5.179703748708504,1.0,7.326367359095348e-05,2,0,0,55,0,1.1996325579602354,1.4930512033900007,1.2145522211357185,0.7674654906766967,0,1.1996325579602354,1.2145522211357185,0.7674654906766967,
link_outage_recovery,5,1,True,0.6606344999891007,2.527260757388258,10.662343424522003,0.7818181818181819,7.326366863814957e-05,2,0,0,55,0,2.8272100767693233,3.9374345558556603,2.5388263595091884,1.749849130297987,0,2.8272100767693233,2.5388263595091884,1.749849130297987,
link_outage_recovery,5,2,True,0.6119788000069093,1.7324792984326978,5.464435157697322,0.9454545454545454,7.326371770790291e-05,2,0,0,55,0,1.5327222201191997,1.855529420674923,1.4814076851259583,1.230148975232473,0,1.5327222201191997,1.4814076851259583,1.230148975232473,
link_outage_recovery,10,0,True,1.1485275000013644,2.322102535644039,7.521671025304147,0.8727272727272727,7.325014994468716e-05,2,0,0,110,0,2.5426275234198727,4.311873532747908,1.6572990543518793,0.7313323654721121,0,2.5426275234198727,1.6572990543518793,0.7313323654721121,
link_outage_recovery,10,1,True,1.1456098000053316,1.9076100515065946,7.842532783962005,0.9454545454545454,7.324977629281618e-05,2,0,0,110,0,1.558267358509529,2.1428153912547674,1.3972405198333593,1.0285572439494992,0,1.558267358509529,1.3972405198333593,1.0285572439494992,
link_outage_recovery,10,2,True,1.1494329999986803,1.8897406115554023,6.204440795732509,0.9454545454545454,7.324990482304207e-05,2,0,0,110,0,3.0416045043080855,4.05407703422727,2.658455181804156,2.388960443389955,0,3.0416045043080855,2.658455181804156,2.388960443389955,
link_outage_recovery,20,0,True,2.313290299993241,1.8633575024497946,6.607914142846996,0.9363636363636364,7.32487237482121e-05,2,0,0,220,0,1.6045164934848404,2.20424049630993,1.4729683870772514,0.9823436454301574,0,1.6045164934848404,1.4729683870772514,0.9823436454301574,
link_outage_recovery,20,1,True,2.5839792000042507,1.9224150734417498,6.62756935646932,0.9181818181818182,7.324867616415879e-05,2,0,0,220,0,1.9759823524108016,2.4627318584471576,1.7919883358412063,1.7027735442156064,0,1.9759823524108016,1.7919883358412063,1.7027735442156064,
link_outage_recovery,20,2,True,2.3242298000113806,2.060180754212577,7.6397146529788476,0.9318181818181818,7.324881493933596e-05,2,0,0,220,0,2.7600099990309905,4.324327140142397,2.015497096953416,1.5688263934341653,0,2.7600099990309905,2.015497096953416,1.5688263934341653,
packet_loss,5,0,True,0.6223831999959657,1.5718878364300475,5.137257581540779,1.0,7.327118616135833e-05,0,0,20,55,0,1.1000489098356163,1.557976384019596,0.9610078103270081,0.6859621824609884,0,1.1000489098356163,0.9610078103270081,0.6859621824609884,
packet_loss,5,1,True,0.6247594000014942,2.5151595544169023,10.688966754027817,0.7818181818181819,7.327184650781316e-05,0,0,21,55,0,2.7009161259377343,3.933112075893552,2.240108662890494,1.7074231266688877,0,2.7009161259377343,2.240108662890494,1.7074231266688877,
packet_loss,5,2,True,0.6333656000060728,1.8511679497350806,5.71525406130479,0.9636363636363636,7.326842024243688e-05,0,0,20,55,0,1.7599729237899568,1.9496708669620373,1.7040168972576715,1.6482853937826458,0,1.7599729237899568,1.7040168972576715,1.6482853937826458,
packet_loss,10,0,True,1.1809896000049775,2.383037083197634,7.461739899136692,0.9181818181818182,7.325013295674508e-05,0,0,37,110,0,2.719849647915266,4.633802730829901,1.6333496046013096,1.0981598670680166,0,2.719849647915266,1.6333496046013096,1.0981598670680166,
packet_loss,10,1,True,1.2030758000037167,1.9757965454381805,7.65892188968483,0.9454545454545454,7.324978672876832e-05,0,0,39,110,0,1.3945191761987095,2.1427521052286504,1.117175181887652,0.677485392740738,0,1.3945191761987095,1.117175181887652,0.677485392740738,
packet_loss,10,2,True,1.176816900013364,1.9794075824221413,6.430900448110907,0.9363636363636364,7.324989260610818e-05,0,0,40,110,0,3.0976675076638434,4.3485363015426,2.585927813262562,2.2646976762085873,0,3.0976675076638434,2.585927813262562,2.2646976762085873,
packet_loss,20,0,True,2.4215754000033485,1.9028665643882334,6.614516896075535,0.9318181818181818,7.324740289071638e-05,0,0,80,220,0,1.6329542026331645,2.2362346153158996,1.6178586795231704,0.6435227030745235,0,1.6329542026331645,1.6178586795231704,0.6435227030745235,
packet_loss,20,1,True,2.4726973000069847,2.0322529374489577,6.62913411752533,0.9136363636363637,7.324697368134498e-05,0,0,83,220,0,1.8876924496806622,2.462708257516689,1.7107599713812438,1.4570422491095616,0,1.8876924496806622,1.7107599713812438,1.4570422491095616,
packet_loss,20,2,True,2.46534629999951,2.1215263381176848,7.587984048994831,0.9318181818181818,7.324743813627807e-05,0,0,82,220,0,2.778160984356963,4.262251518414288,2.025454651596171,1.8154215541666117,0,2.778160984356963,2.025454651596171,1.8154215541666117,
communication_delay,5,0,True,0.9169263999938266,1.964613988725121,5.168000237075299,1.0,7.326963632031658e-05,0,0,0,55,0,1.7041907118512423,2.8947644877698173,1.026664753348838,0.7159466712347993,0,1.7041907118512423,1.026664753348838,0.7159466712347993,
communication_delay,5,1,True,0.8563978999882238,2.9101058245091256,10.599206810519275,0.7818181818181819,7.326973554267917e-05,0,0,0,55,0,3.311892900999114,5.362947077212739,2.274679839994068,1.683303748905744,0,3.311892900999114,2.274679839994068,1.683303748905744,
communication_delay,5,2,True,0.847931600001175,2.2152950748130955,5.686984814924136,0.9636363636363636,7.326990964911238e-05,0,0,0,55,0,2.3201315133717175,3.495443754282017,1.7195846398970374,1.6097489292691263,0,2.3201315133717175,1.7195846398970374,1.6097489292691263,
communication_delay,10,0,True,1.6135559999966063,2.587030226542899,7.351942223451547,0.9363636363636364,7.324973508119623e-05,0,0,0,110,0,2.526426555312769,4.198277882683445,1.6621379106636118,1.0833618697172902,0,2.526426555312769,1.6621379106636118,1.0833618697172902,
communication_delay,10,1,True,1.6301672999979928,2.275922885761476,7.665691741298152,0.9181818181818182,7.324947923582056e-05,0,0,0,110,0,1.8222723224220285,3.018498625997293,1.2856187388263285,0.556585128011124,0,1.8222723224220285,1.2856187388263285,0.556585128011124,
communication_delay,10,2,True,1.6524040999938734,2.2729411861930897,6.464639880204259,0.9545454545454546,7.324958224443636e-05,0,0,0,110,0,3.0300274290572884,4.191701731914958,2.586206598369375,2.2239840642393474,0,3.0300274290572884,2.586206598369375,2.2239840642393474,
communication_delay,20,0,True,3.3184136000054423,2.2727770543923596,6.5950287187442,0.9409090909090909,7.324822980824898e-05,0,0,0,220,0,2.539489593919218,4.339193153455085,1.6186378470589236,0.6716515230464272,0,2.539489593919218,1.6186378470589236,0.6716515230464272,
communication_delay,20,1,True,3.453990399997565,2.3101809861155993,6.5543828420954435,0.9136363636363637,7.324832531858442e-05,0,0,0,220,0,1.8653278368046957,2.2927262855311374,1.686826684541607,1.6610463114995695,0,1.8653278368046957,1.686826684541607,1.6610463114995695,
communication_delay,20,2,True,3.4387440999998944,2.4345808173218844,7.588038716066117,0.9409090909090909,7.32481856321192e-05,0,0,0,220,0,2.78877333104753,4.225492170303368,2.081288894701295,1.8553215401165535,0,2.78877333104753,2.081288894701295,1.8553215401165535,
absolute_navigation_dropout,5,0,True,0.6212071000045398,1.3817613986457264,4.224825314847864,1.0,7.332002903144151e-05,0,0,0,50,5,1.0827585017713321,1.4930512033900007,1.070961315913415,0.39733668174951436,1,1.0827585017713321,1.070961315913415,0.39733668174951436,
absolute_navigation_dropout,5,1,True,0.6279598000110127,2.345559869890561,8.556543504415608,0.9818181818181818,7.331813527271674e-05,0,0,0,50,5,2.47432276121285,3.9374345558556603,1.933921215172455,0.843519495093131,1,2.47432276121285,1.933921215172455,0.843519495093131,
absolute_navigation_dropout,5,2,True,0.6208249000046635,1.6636384982563415,4.829316276132941,1.0,7.33199408263156e-05,0,0,0,50,5,1.633978244771485,1.855529420674923,1.7953748022177216,0.9870684294227471,1,1.633978244771485,1.7953748022177216,0.9870684294227471,
absolute_navigation_dropout,10,0,True,1.1870318000001134,2.294516694126503,7.298874971379539,0.9545454545454546,7.32500151814843e-05,0,0,0,105,5,2.8643828700427716,4.311873532747908,2.31896797255472,1.5902577476864752,1,2.8643828700427716,2.31896797255472,1.5902577476864752,
absolute_navigation_dropout,10,1,True,1.1758020999986911,1.8582542489400127,6.8972604328009375,0.9636363636363636,7.324978126060813e-05,0,0,0,105,5,1.6474446001819036,2.1428153912547674,1.343968914975776,1.5328160568327438,1,1.6474446001819036,1.343968914975776,1.5328160568327438,
absolute_navigation_dropout,10,2,True,1.187962099997094,1.8268770657982978,5.948966623793711,0.9727272727272728,7.324994101678639e-05,0,0,0,105,5,2.908690775000598,4.05407703422727,2.5821450413438325,1.8638057301553448,1,2.908690775000598,2.5821450413438325,1.8638057301553448,
absolute_navigation_dropout,20,0,True,2.3846448000113014,1.7316799195109402,6.206039026573169,0.9636363636363636,7.324869147099971e-05,0,0,0,215,5,2.1501259591416892,2.20424049630993,2.2037062916857266,1.9996518401237109,1,2.1501259591416892,2.2037062916857266,1.9996518401237109,
absolute_navigation_dropout,20,1,True,2.360432999994373,1.9954164035388036,7.373010264481892,0.7863636363636364,7.324869339887624e-05,0,0,0,215,5,2.0673101709275605,2.4627318584471576,2.269968941612323,1.008719513669239,1,2.0673101709275605,2.269968941612323,1.008719513669239,
absolute_navigation_dropout,20,2,True,2.4186037000035867,2.027261453501725,6.942038306575443,0.9318181818181818,7.32487613223571e-05,0,0,0,215,5,3.5288122640114197,4.324327140142397,3.5260528502470345,2.4975332351755175,1,3.5288122640114197,3.5260528502470345,2.4975332351755175,
multi_node_navigation_dropout,5,0,True,0.6674627000029432,1.3578742997581739,4.132170542803854,1.0,7.331957141763406e-05,0,0,0,45,10,1.1481469553064236,1.4930512033900007,1.0794013875169386,0.8139437482760644,2,1.3522581824740354,1.2136851426264963,0.6557418999034585,
multi_node_navigation_dropout,5,1,True,0.6596017999981996,2.337369793056298,8.310176859425765,0.9272727272727272,7.331750570980277e-05,0,0,0,45,10,3.214474304046173,3.9374345558556603,3.1734026435986356,2.366340439593847,2,2.485423325720796,2.444578818068762,1.6972208626454233,
multi_node_navigation_dropout,5,2,True,0.6571049000049243,1.6845972336797497,4.731068062041526,0.8363636363636363,7.331907057950832e-05,0,0,0,45,10,1.6554733885724726,1.855529420674923,1.8007941997731842,1.095938942997208,2,1.883020757187714,1.8048132505024452,1.3504083495630064,
multi_node_navigation_dropout,10,0,True,1.2214425999991363,2.410282167382082,7.399986611711479,0.8818181818181818,7.325008993952269e-05,0,0,0,100,10,3.2284455486538475,4.311873532747908,2.7456629243806447,2.6571527812066775,2,3.4661858865804778,3.118028321239366,2.4851692744417537,
multi_node_navigation_dropout,10,1,True,1.1887672000011662,1.8436505612471572,7.117901310718724,0.9181818181818182,7.324982373686304e-05,0,0,0,100,10,1.9049498543214594,2.1428153912547674,1.957777133407492,1.5250949149491855,2,1.9793331368693536,1.8963702908508413,1.561116634705497,
multi_node_navigation_dropout,10,2,True,1.187059899995802,1.9088307257197143,5.702847489034438,0.9545454545454546,7.324986761846938e-05,0,0,0,100,10,3.755546761794675,4.05407703422727,3.7791634389207447,3.3876463309879266,2,2.8074163892307427,2.7581309730371797,2.2275724538779427,
multi_node_navigation_dropout,20,0,True,2.451049099996453,1.6336127743159807,5.341265618676689,0.9727272727272728,7.324869427063117e-05,0,0,0,210,10,1.6787873642839344,2.20424049630993,1.6267281100607645,1.0318828974656176,2,1.2581966701321194,1.0379732574827283,0.8274168484409719,
multi_node_navigation_dropout,20,1,True,2.4017733999935444,2.0585167329752503,7.429667353683636,0.8136363636363636,7.324870792206014e-05,0,0,0,210,10,2.4280896914239554,2.4627318584471576,2.3699666795385443,2.488169348145038,2,2.368053060507852,2.4570784348937638,1.9030031530031224,
multi_node_navigation_dropout,20,2,True,2.572382300000754,2.2003981066907867,8.208433697029863,0.9045454545454545,7.324871699114171e-05,0,0,0,210,10,3.581999258280217,4.324327140142397,3.623322192799245,2.5427132057735924,2,3.4636993607822477,3.2081409012317446,2.0349445973245612,
navigation_communication_degradation,5,0,True,0.9036818000022322,1.8874189848885763,4.346277406983926,1.0,7.33122698968192e-05,0,0,12,45,10,1.7943167226517505,2.8947644877698173,1.2928025644621908,0.7999210045800494,2,1.728444826531971,1.5252853813194918,0.7042876683694828,
navigation_communication_degradation,5,1,True,0.8987178999959724,2.801443593837804,8.482096149961025,0.9454545454545454,7.330384203350172e-05,0,0,13,45,10,3.711267896774436,5.362947077212739,3.0573595834342133,2.482455857068083,2,3.1133848440092082,2.404154065471544,1.8044193250982192,
navigation_communication_degradation,5,2,True,0.886223900000914,2.2495367383488425,5.067599984957576,0.8909090909090909,7.331209947572829e-05,0,0,14,45,10,2.300048075248443,3.495443754282017,1.8687403434238137,1.1657757301826221,2,2.4633322228629,1.9586243440676006,1.4036367082007724,
navigation_communication_degradation,10,0,True,1.7321786999964388,2.7429876978954697,7.310900923740479,0.9090909090909091,7.32423081606612e-05,0,0,23,100,10,3.287859740829897,4.198277882683445,2.9342981295690587,2.7678571327786585,2,3.615022478033251,3.2445597785602995,2.5722506780244085,
navigation_communication_degradation,10,1,True,1.7387765000021318,2.326491406574396,7.232124119472557,0.9,7.324179153579222e-05,0,0,25,100,10,2.23777812724241,3.018498625997293,1.956060627372957,1.6950214019468848,2,2.165529144774431,2.0185068725447577,1.6199101507933467,
navigation_communication_degradation,10,2,True,1.669891400000779,2.337040768917968,5.843756633044883,0.9454545454545454,7.324616632323388e-05,0,0,26,100,10,3.9623593730937876,4.191701731914958,4.0509918407570495,3.5561892112938636,2,3.2703661316703307,2.9795179056382137,2.338141427067046,
navigation_communication_degradation,20,0,True,3.4650670000119135,2.1098457975667695,5.411081752866502,0.9727272727272728,7.322657782849215e-05,0,0,50,210,10,2.595623894112436,4.339193153455085,1.7812591070351385,0.7658732914368462,2,2.020761158550322,1.3821026720267147,0.6128118081815825,
navigation_communication_degradation,20,1,True,3.5201146000035806,2.4953819694474366,7.421466351208953,0.8136363636363636,7.322733207436633e-05,0,0,50,210,10,2.3381845731379887,2.2927262855311374,2.3688361419611925,2.3317713781773373,2,2.390015639317621,2.4541271185013334,1.9050546259247447,
navigation_communication_degradation,20,2,True,3.4404632999940077,2.5697678211025226,8.03094247362309,0.9227272727272727,7.322652650971486e-05,0,0,50,210,10,3.4520138949220858,4.225492170303368,3.3878331846524006,2.590301048079245,2,3.777409762507276,3.167612989170493,2.1452640944181134,
