resource_form,communication_multiplier,resynchronization_multiplier,switch_multiplier,mean_best_gain_over_keep,positive_best_nonkeep_fraction,best_type_match_fraction_to_current,node_count,state_count,best_keep_count,best_add_count,best_swap_count,best_remove_count
absolute,0.0,2.0,1.0,0.013152211378163303,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.0,2.0,1.0,0.008919660603286552,0.5,1.0,10,16,8,2,5,1
absolute,0.0,2.0,1.0,0.004674018968787948,0.75,1.0,20,16,4,7,4,1
absolute,0.0,2.0,2.0,0.01269387804482997,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.0,2.0,2.0,0.008524523524830109,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.0,2.0,2.0,0.0039680451187920985,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.25,0.0,0.0,0.014095133218003797,0.75,0.8571428571428571,5,24,6,5,10,3
absolute,0.25,0.0,0.0,0.009592056436619884,0.5,0.8571428571428571,10,16,8,2,5,1
absolute,0.25,0.0,0.0,0.005540685381644086,0.8125,0.8571428571428571,20,16,3,7,4,2
absolute,0.25,0.0,0.25,0.013915667775217062,0.7083333333333334,0.8928571428571429,5,24,7,4,10,3
absolute,0.25,0.0,0.25,0.009467056436619884,0.5,0.8928571428571429,10,16,8,2,5,1
absolute,0.25,0.0,0.25,0.005352534593787947,0.75,0.8928571428571429,20,16,4,7,4,1
absolute,0.25,0.0,0.5,0.013744486711959568,0.6666666666666666,0.9107142857142857,5,24,8,4,9,3
absolute,0.25,0.0,0.5,0.009342056436619884,0.5,0.9107142857142857,10,16,8,2,5,1
absolute,0.25,0.0,0.5,0.0051650345937879465,0.75,0.9107142857142857,20,16,4,7,4,1
absolute,0.25,0.0,1.0,0.0134553363781633,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.25,0.0,1.0,0.009092056436619884,0.5,1.0,10,16,8,2,5,1
absolute,0.25,0.0,1.0,0.004790034593787946,0.75,1.0,20,16,4,7,4,1
