seed,mode,angle_sigma_deg,process_noise,baseline_position_rmse,baseline_velocity_rmse,algorithm,position_rmse,velocity_rmse,position_improvement_pct,velocity_ratio,mean_nees,mean_nis,sat_01_position_rmse,sat_01_velocity_rmse,sat_02_position_rmse,sat_02_velocity_rmse,sat_03_position_rmse,sat_03_velocity_rmse
20260729,range_rate,,1e-08,28.773858255441734,0.025595737353267464,centralized,27.970653441472376,0.046011171530918236,2.791439392099792,1.797610707434635,275.70599511636493,1.068274658483362,2.3553399620729603,0.03729864423784175,46.6430103503812,0.042478221435866326,34.91361001196296,0.058256648919046625
20260729,range_rate,,1e-08,28.773858255441734,0.025595737353267464,local_6d,27.442536949272707,0.04991532697480582,4.626843207296493,1.9501421774213432,1689.4408710666607,1.407833017559704,24.36418514109375,0.02335977875500104,19.56977969696868,0.08707406547953452,38.39364600975569,0.0393121366898819
20260729,range_rate,,1e-08,28.773858255441734,0.025595737353267464,fleet_ci,26.16719435490451,0.054826638256179006,9.059139297192619,2.1420222242271145,130.10159459917938,0.9676253474514149,2.393331220315565,0.036786411565296315,38.56836884293539,0.0638530859155933,37.53988300146257,0.0638404172876474
20260729,angle,0.02,1e-08,28.773858255441734,0.025595737353267464,centralized,20834.111287648782,247.36767165306765,-72306.38743227499,9664.408891173809,21740067.864512794,1276608.4183462493,1930.41433244569,143.12650303605963,28148.605613162137,344.3889964829948,32423.31391733852,254.58751544014848
20260729,angle,0.02,1e-08,28.773858255441734,0.025595737353267464,local_6d,8.393866316091605,0.0170469489456027,70.82815157573054,0.6660073398286588,376575.21169299027,0.7978864566687845,8.375729820965114,0.013301982701226983,10.138884749310517,0.016831212886530597,6.666984377999182,0.02100765124905052
20260729,angle,0.02,1e-08,28.773858255441734,0.025595737353267464,fleet_ci,11426.761509597816,173.5172949119003,-39612.30207696174,6779.148125996444,15626384.992476678,694544.0992806269,1611.0434053786369,105.28648856101347,14939.298755195334,192.7161783924763,17729.942368219476,222.5492177822112
20260729,angle,0.05,1e-08,28.773858255441734,0.025595737353267464,centralized,15530.838489961423,109.53120022960468,-53875.51608159542,4279.275049508285,3889335.0293548536,233813.88998051197,882.722152584617,59.50771603416501,21302.88877365318,163.4113051967903,24406.90454364647,105.67457945785874
20260729,angle,0.05,1e-08,28.773858255441734,0.025595737353267464,local_6d,8.203547307834798,0.020068462015870543,71.48958184541227,0.7840548501842113,88849.33765893333,0.9331005109519723,8.249869440730757,0.015857095121101953,9.952819069556444,0.021718237625447678,6.407953413217194,0.022630053301062
20260729,angle,0.05,1e-08,28.773858255441734,0.025595737353267464,fleet_ci,5809.162897181445,65.48604490793099,-20089.030075877334,2558.47463990215,4785973.468906306,396274.0353943251,538.8064563865177,43.12110132029383,7799.362489810684,79.31415031695495,9089.319745347135,74.0228830865442
20260729,angle,0.1,1e-08,28.773858255441734,0.025595737353267464,centralized,2339.356798152079,30.377745228206276,-8030.1463897691165,1186.8282913259523,371251.1085594858,87638.90580114438,215.61238289152976,16.879940824365246,3182.9934573569667,39.46995256327125,3619.464554207741,34.783342296982326
20260729,angle,0.1,1e-08,28.773858255441734,0.025595737353267464,local_6d,8.037329501636698,0.0277279714889979,72.0672513561275,1.083304266890293,28235.347347006984,1.0320702187021067,8.183234452650577,0.02472382371496827,9.770093103971218,0.029300843921260308,6.1586609482883015,0.029159246830765102
20260729,angle,0.1,1e-08,28.773858255441734,0.025595737353267464,fleet_ci,2098.3930099939994,27.93641323532287,-7192.706425969655,1091.4478785959493,680005.0753970024,53037.7426897073,208.75613249006267,16.618966607556025,2798.5401193668545,32.89751558472473,3287.8827781250807,34.29275751368785
20260729,angle,0.2,1e-08,28.773858255441734,0.025595737353267464,centralized,1219.4345997629177,18.669736908854535,-4137.99474139794,729.4080514727277,145067.31127287156,11281.61072447225,128.96390682183912,10.382570037116386,1638.7889572974334,23.415591502884645,1890.5509351694807,22.211049186562573
20260729,angle,0.2,1e-08,28.773858255441734,0.025595737353267464,local_6d,7.98829926491976,0.0404235136813598,72.23764990428766,1.5793064729271993,8902.599021514643,1.1308305600877384,8.284797622827178,0.03932392723689721,9.61538704544608,0.0403757801185302,6.064713126486025,0.041570833688651984
20260729,angle,0.2,1e-08,28.773858255441734,0.025595737353267464,fleet_ci,267.82227339967653,4.15899864530958,-830.7833208256866,162.4879403905376,7934.817140186084,554.8510098995777,30.30199729254917,2.217636116744866,363.2009028261543,4.753165977327677,409.96392008032615,5.5061938418561995
20260729,angle,0.5,1e-08,28.773858255441734,0.025595737353267464,centralized,10.792529932693776,0.2809978026500237,62.49189164385806,10.978304659551155,64.6612301441881,9.896250873344476,3.1564370359614307,0.30194842719057713,14.268052305196056,0.1906138186878323,14.953100456923845,0.3504311620716617
20260729,angle,0.5,1e-08,28.773858255441734,0.025595737353267464,local_6d,8.486706868722491,0.06140125900887195,70.50549567117064,2.3988861176930962,2106.3645818560826,1.2547387201224975,8.958299408375812,0.06277839738322159,9.663657110648012,0.058216594740337545,6.83816408714365,0.06320878490305673
20260729,angle,0.5,1e-08,28.773858255441734,0.025595737353267464,fleet_ci,7.474496202500963,0.09733946884105539,74.0233091574107,3.8029562304689524,27.115479411663706,3.228988121109441,2.5340336506311667,0.09544785675407903,9.413749736917513,0.10573269946449754,10.47570521995421,0.09083785030458962
20260729,combined,0.02,1e-08,28.773858255441734,0.025595737353267464,centralized,5.781105786470952,0.4804473620892264,79.90847895631923,18.770600567515753,120.99185471153656,1488.5097682435164,3.2822044095162526,0.34787577149256477,7.894153655289605,0.3785166331562261,6.166959294606997,0.7149496816188883
