seed,policy,communication_weight,topology_switch_weight,resynchronization_weight,final_position_rmse,cumulative_task_reward,cumulative_penalized_return,transmitted_messages,dropped_messages,replay_count,resynchronization_count,topology_switch_count
0,keep,0.0,0.02,0.0,0.9233197430795527,1.7863225716195301,1.7863225716195301,21.0,3.0,24.0,0.0,0.0
0,information_greedy,0.0,0.02,0.0,0.8254903598510361,1.8841519548480468,1.8641519548480467,27.0,3.0,30.0,2.0,1.0
0,short_horizon_oracle,0.0,0.02,0.0,1.0711357978122396,1.6385065168868433,1.5585065168868433,24.0,1.0,23.0,8.0,4.0
1,keep,0.0,0.02,0.0,0.9397494158813295,2.291530321319642,2.291530321319642,23.0,2.0,23.0,0.0,0.0
1,information_greedy,0.0,0.02,0.0,0.9001238816331787,2.331155855567793,2.311155855567793,29.0,2.0,29.0,2.0,1.0
1,short_horizon_oracle,0.0,0.02,0.0,0.8914737586505215,2.33980597855045,2.23980597855045,30.0,3.0,25.0,10.0,5.0
2,keep,0.0,0.02,0.0,1.0482973748145175,1.78052328981315,1.78052328981315,23.0,1.0,24.0,0.0,0.0
2,information_greedy,0.0,0.02,0.0,1.014900325894823,1.8139203387328444,1.7939203387328444,29.0,2.0,29.0,2.0,1.0
2,short_horizon_oracle,0.0,0.02,0.0,0.9632874842011471,1.8655331804265205,1.7655331804265204,30.0,3.0,27.0,10.0,5.0
