packet_loss_rate,delay,method,runs,successful_runs,failure_rate,position_rmse_mean,position_rmse_std,position_rmse_p05,position_rmse_p50,position_rmse_p95,velocity_rmse_mean,velocity_rmse_std,velocity_rmse_p05,velocity_rmse_p50,velocity_rmse_p95,mean_angle_nis_mean,mean_angle_nis_std,mean_angle_nis_p05,mean_angle_nis_p50,mean_angle_nis_p95,mean_orbit_nees_mean,mean_orbit_nees_std,mean_orbit_nees_p05,mean_orbit_nees_p50,mean_orbit_nees_p95,pre_ci_position_rmse_mean,pre_ci_position_rmse_std,pre_ci_position_rmse_p05,pre_ci_position_rmse_p50,pre_ci_position_rmse_p95,pre_ci_velocity_rmse_mean,pre_ci_velocity_rmse_std,pre_ci_velocity_rmse_p05,pre_ci_velocity_rmse_p50,pre_ci_velocity_rmse_p95,pre_ci_mean_orbit_nees_mean,pre_ci_mean_orbit_nees_std,pre_ci_mean_orbit_nees_p05,pre_ci_mean_orbit_nees_p50,pre_ci_mean_orbit_nees_p95,ci_position_gain_mean,ci_position_gain_std,ci_position_gain_p05,ci_position_gain_p50,ci_position_gain_p95,ci_velocity_gain_mean,ci_velocity_gain_std,ci_velocity_gain_p05,ci_velocity_gain_p50,ci_velocity_gain_p95,mean_attitude_error_deg_mean,mean_attitude_error_deg_std,mean_attitude_error_deg_p05,mean_attitude_error_deg_p50,mean_attitude_error_deg_p95,average_delay_mean,average_delay_std,average_delay_p05,average_delay_p50,average_delay_p95,realized_packet_loss_rate_mean,realized_packet_loss_rate_std,realized_packet_loss_rate_p05,realized_packet_loss_rate_p50,realized_packet_loss_rate_p95,position_rmse_win_rate,velocity_rmse_win_rate,angle_nis_consistency_win_rate
0.0,0.0,truth_attitude,10,10,0.0,0.47944135659067155,0.08190989824256965,0.36731308039700605,0.48008500185564373,0.602593991917475,0.0024230012083767526,0.00052305902637935,0.0019112618878479662,0.002259240791818301,0.003313674547823474,1.6771986392550882,0.13496960320415663,1.5263301075004294,1.6610481804643227,1.8746541404860808,0.002001103641371027,0.0007887056563929571,0.001280327501744439,0.0016943347872380155,0.0033912996020704026,0.4825766308003737,0.07912527433689039,0.3690488488248209,0.4803573126160712,0.5994286046125725,0.0025775938462875166,0.00033960850832339594,0.002159863955652212,0.0026334265151303124,0.0030281672823855485,0.0021886822310025968,0.0005063697437203218,0.0015867075088743683,0.0021721631361617307,0.002793701145003323,0.0031352742097021215,0.01541435114428829,-0.012792376976070583,-0.0004102138287003787,0.027517828781106844,0.00015459263791076398,0.0003304730634668284,-0.000360870222700682,0.0001567539570045361,0.0005729948178437738,0.05963612611815709,0.007864357252630459,0.05005155835075907,0.05998200657736889,0.07078852725681987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,mekf_with_covariance,10,10,0.0,0.3880672419411155,0.03347316946574552,0.3454890324537162,0.38561377136773395,0.4378299831077033,0.002936015010736038,0.0004930122128665255,0.0023611036123322936,0.0028301849297127464,0.0036921787347921464,1.557865213088764,0.47031759810743445,1.0665010748303274,1.406869461651671,2.2945297155403805,0.0026525542442218356,0.0008040533390159693,0.0017606694345028689,0.0024814301674215985,0.003906037073483131,0.4012704270172095,0.02695628706540597,0.365665409998168,0.39881736917883553,0.43923081106515915,0.0041567109377350555,0.0008055735470184284,0.0032843027062339062,0.0041520343113853365,0.005463089356206462,0.004978879729793205,0.0018578274933734717,0.0031151609668868298,0.004745324918802477,0.008146135811141812,0.01320318507609397,0.01906939180622296,-0.002914738462239577,0.005274885214955755,0.04601994599239254,0.0012206959269990183,0.0006691720349221933,0.00032925821873785825,0.001359188238383684,0.001981068948285772,0.05963612611815709,0.007864357252630459,0.05005155835075907,0.05998200657736889,0.07078852725681987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,mekf_without_covariance,10,10,0.0,0.545311974822789,0.09951987201405864,0.423157340214617,0.531429671319756,0.6805796491455472,0.003181041200013165,0.0006546998726237695,0.002406967155461219,0.003212943633011371,0.00413252720501365,7.1719423360335055,1.7817511352221507,5.266199128318924,7.033490846287751,9.790704940286622,0.003396125770528258,0.0013448985937766736,0.0019478920655437927,0.003467916362841575,0.005351402375959633,0.5456015038584805,0.10317073810707104,0.42361172106147715,0.5365699372913049,0.6904711982212208,0.004526818013417594,0.0009757271730785813,0.003511136181579397,0.004412612687651929,0.006106454639260976,0.0065514020306687544,0.0027462488984325794,0.0038460616936341003,0.0059222988488197344,0.01119244240275231,0.00028952903569144374,0.009399187710936572,-0.00807304750102493,-0.003356301358969749,0.015282521378423185,0.0013457768134044292,0.000772675472312485,0.0004445227373557759,0.0012071646190541401,0.0024128073295839507,0.05963612611815709,0.007864357252630459,0.05005155835075907,0.05998200657736889,0.07078852725681987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,mekf_with_covariance_local_only,10,10,0.0,0.46516377139592036,0.04786054689773166,0.40665611591333295,0.45923070483809103,0.5353600824633583,0.003422809662344923,0.0003782982981091719,0.002942466222146834,0.003422899734809306,0.003921942685078532,0.9589630464462134,0.14219450875270587,0.7570499454209976,0.972724913294453,1.1375515130700582,0.003618678505180289,0.00072491450117844,0.002724679739528692,0.0036173038235102336,0.004628978506894,0.46516377139592036,0.04786054689773166,0.40665611591333295,0.45923070483809103,0.5353600824633583,0.003422809662344923,0.0003782982981091719,0.002942466222146834,0.003422899734809306,0.003921942685078532,0.003618678505180289,0.00072491450117844,0.002724679739528692,0.0036173038235102336,0.004628978506894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05963612611815709,0.007864357252630459,0.05005155835075907,0.05998200657736889,0.07078852725681987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,paired_covariance_effect,10,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8,1.0
0.2,0.0,truth_attitude,10,10,0.0,0.5044217647764601,0.09696500809435901,0.376554792626722,0.4956822053881894,0.6388524709740735,0.002495697412350221,0.000542801965814908,0.001871738548950401,0.0025122164218707157,0.0032746105522002003,1.6941913611473105,0.11952416978672971,1.5557121645997922,1.6901497680428827,1.8810717351427433,0.0021457131350395417,0.0006951850513154929,0.0014510938543070638,0.0021102338964745157,0.0031807986907235785,0.5077886772873124,0.08952885985800282,0.403792246570776,0.49392060404129295,0.6338205371449818,0.0025920606414484818,0.0003346794204492787,0.0021122676172612943,0.0026318511369166613,0.002997668007290565,0.002241106066268105,0.00040008170479063925,0.0016561571126813375,0.0023148969160571315,0.002668984873366571,0.003366912510852249,0.016469945574736928,-0.008121699335159044,-0.002794680667172922,0.030064286763732413,9.636322909826029e-05,0.00029095003202434053,-0.00029939708334997565,9.145202262487268e-05,0.0004939503016272295,0.05963612611815709,0.007864357252630459,0.05005155835075907,0.05998200657736889,0.07078852725681987,0.0,0.0,0.0,0.0,0.0,0.20928961748633879,0.009741159895898677,0.1937158469945355,0.21311475409836064,0.2185792349726776,,,
0.2,0.0,mekf_with_covariance,10,10,0.0,0.39251777007614574,0.036817270382220865,0.35119425226644174,0.38441183323766315,0.440271129088041,0.0031367904290550814,0.00044775697923264636,0.0025720498989828156,0.0032043529781051044,0.0037180089538958083,1.5168794948593285,0.47725773575979086,1.032182823810593,1.354289776627501,2.2822070031802135,0.002961604181149595,0.0007489789563502266,0.0020365868478690605,0.0030322943486110893,0.0039539991253531425,0.4046048636834329,0.03513851632609896,0.36087907278603065,0.4021849211558186,0.45242767525116107,0.003925959941376796,0.0009401861496021735,0.0029565132065462307,0.003587701197195996,0.005464499568332,0.004584064223187196,0.002078689204259027,0.0026137927905487595,0.0037057424967011122,0.008147124922412582,0.012087093607287224,0.01676888820953207,-0.0019629805693655517,0.008088634283207247,0.038874875084228516,0.0007891695123217149,0.0007908725124220093,-4.080472593267614e-05,0.0004424175258648307,0.0018438463743732905,0.05963612611815709,0.007864357252630459,0.05005155835075907,0.05998200657736889,0.07078852725681987,0.0,0.0,0.0,0.0,0.0,0.20928961748633879,0.009741159895898677,0.1937158469945355,0.21311475409836064,0.2185792349726776,,,
0.2,0.0,mekf_without_covariance,10,10,0.0,0.44513573989932453,0.05976312921842423,0.3559709800697685,0.4555301265509186,0.5126716936758933,0.0034289610864075446,0.0006883003946675949,0.002530148663805683,0.0034909970882557777,0.004353789991824876,6.8043106816011,1.6416721165655923,5.123844641413704,6.5017552346001235,9.274376459685977,0.003770635929493339,0.0013456693728768222,0.002047017525439274,0.0038668783982522947,0.005641918293002623,0.4492226082632973,0.05238844182914978,0.37344272221759134,0.4528412769889605,0.5060738628383094,0.004242467137570125,0.0010908223813223177,0.003113861990547831,0.003944322677235988,0.006052898036017657,0.00577695490395983,0.0029083890060393313,0.003034802681482173,0.004740085279042658,0.010807851406824871,0.004086868363972729,0.01794131445477893,-0.01101358193949738,0.0011130886412806518,0.031617814964041896,0.0008135060511625808,0.0010240824976619808,-0.00042778010533631774,0.0005915948288587828,0.0023297501671381273,0.05963612611815709,0.007864357252630459,0.05005155835075907,0.05998200657736889,0.07078852725681987,0.0,0.0,0.0,0.0,0.0,0.20928961748633879,0.009741159895898677,0.1937158469945355,0.21311475409836064,0.2185792349726776,,,
0.2,0.0,mekf_with_covariance_local_only,10,10,0.0,0.46516377139592036,0.04786054689773166,0.40665611591333295,0.45923070483809103,0.5353600824633583,0.003422809662344923,0.0003782982981091719,0.002942466222146834,0.003422899734809306,0.003921942685078532,0.9589630464462134,0.14219450875270587,0.7570499454209976,0.972724913294453,1.1375515130700582,0.003618678505180289,0.00072491450117844,0.002724679739528692,0.0036173038235102336,0.004628978506894,0.46516377139592036,0.04786054689773166,0.40665611591333295,0.45923070483809103,0.5353600824633583,0.003422809662344923,0.0003782982981091719,0.002942466222146834,0.003422899734809306,0.003921942685078532,0.003618678505180289,0.00072491450117844,0.002724679739528692,0.0036173038235102336,0.004628978506894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05963612611815709,0.007864357252630459,0.05005155835075907,0.05998200657736889,0.07078852725681987,0.0,0.0,0.0,0.0,0.0,0.20928961748633879,0.009741159895898677,0.1937158469945355,0.21311475409836064,0.2185792349726776,,,
0.2,0.0,paired_covariance_effect,10,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,1.0
