seed,method,position_rmse,velocity_rmse,mean_angle_nis,mean_orbit_nees,mean_attitude_error_deg,failed,error
20260729,truth_attitude,0.4154344827790648,0.0009722687353850976,1.9632972127792179,0.00046683387786787355,0.051271702015202474,False,
20260729,mekf_with_covariance,0.4108002489784077,0.001666375697999829,1.1747502832931773,0.001007624412135068,0.051271702015202474,False,
20260729,mekf_without_covariance,0.41821043794835294,0.0017293068787954577,5.979369082828315,0.0010852313226414505,0.051271702015202474,False,
20260730,truth_attitude,0.3718046823062973,0.0025231894417942417,1.8068716223828405,0.0020035326334894403,0.051439485368907294,False,
20260730,mekf_with_covariance,0.4160659670282422,0.0029089959541569485,0.9702447599424275,0.0026117658463111456,0.051439485368907294,False,
20260730,mekf_without_covariance,0.3690162107563413,0.0029109167225261456,4.6297279686567965,0.002638279706392324,0.051439485368907294,False,
20260731,truth_attitude,0.3908708696146029,0.0020125117371834755,1.7805748758483837,0.0013410087999618234,0.049053258988941736,False,
20260731,mekf_with_covariance,0.40583459214504886,0.002245104660462145,1.0220401426372365,0.001618884502426817,0.049053258988941736,False,
20260731,mekf_without_covariance,0.4067961945872721,0.002400195383828263,4.775960491082016,0.0018729537555746446,0.049053258988941736,False,
20260732,truth_attitude,0.4322451566967373,0.00178971627146986,2.2091103681743305,0.0011344033840501035,0.0624069848180023,False,
20260732,mekf_with_covariance,0.4148981196691929,0.0024183339857004175,1.320451377423845,0.0018885214467589883,0.0624069848180023,False,
20260732,mekf_without_covariance,0.4713079918167348,0.0023375586168709996,6.201503009468908,0.0018598911390305972,0.0624069848180023,False,
20260733,truth_attitude,0.3917911769626148,0.0017840521084691357,1.8644621090011828,0.0010739524780324318,0.06506027804623014,False,
20260733,mekf_with_covariance,0.400619729617654,0.002184674408860394,1.7787270064932534,0.0015315984316609237,0.06506027804623014,False,
20260733,mekf_without_covariance,0.38942458657405227,0.0021601362746110505,7.87849260957603,0.0015183279308709167,0.06506027804623014,False,
20260734,truth_attitude,0.3975528004643459,0.001288077023994175,2.0252634043298716,0.0006626577992746547,0.05830293399563061,False,
20260734,mekf_with_covariance,0.40032870485970223,0.0025685137730267053,1.2131020055819348,0.0021425932464085987,0.05830293399563061,False,
20260734,mekf_without_covariance,0.4447013055491614,0.002648430521591758,6.069743258314935,0.002321809251484665,0.05830293399563061,False,
20260735,truth_attitude,0.39727570903790527,0.0016942907637198868,1.9175031993193603,0.0010200970588667476,0.0706712173587486,False,
20260735,mekf_with_covariance,0.4012314701371685,0.0024702331113765335,1.719597291574601,0.0019738816727854418,0.0706712173587486,False,
20260735,mekf_without_covariance,0.4029648761060376,0.002610091248118163,8.212697162778504,0.002208401741652131,0.0706712173587486,False,
20260736,truth_attitude,0.383456572285518,0.0024810189360058043,1.76926105583605,0.0018799220248410593,0.05560981334828607,False,
20260736,mekf_with_covariance,0.3979594183468813,0.0026366705935916375,1.1129872734367465,0.0021129322014593398,0.05560981334828607,False,
20260736,mekf_without_covariance,0.3958998123474107,0.0027724429586269833,5.515756615811459,0.002357571919568035,0.05560981334828607,False,
20260737,truth_attitude,0.3793691130839087,0.001903720796148607,1.9600837562926192,0.001207123238608398,0.07088450808251456,False,
20260737,mekf_with_covariance,0.3878378564280641,0.0025865255552784674,1.7151677221345059,0.0021169934226198737,0.07088450808251456,False,
20260737,mekf_without_covariance,0.3784470552803337,0.0026938132033351705,7.828706031265464,0.00230044630039146,0.07088450808251456,False,
20260738,truth_attitude,0.3952085768362529,0.0015861850202361681,1.837413739016928,0.0009060494920717359,0.06166107915910718,False,
20260738,mekf_with_covariance,0.4215317663565106,0.0022289590803262556,1.3977234693091745,0.0016419363471525937,0.06166107915910718,False,
20260738,mekf_without_covariance,0.4286991723462262,0.0025070724934124636,6.678838146546411,0.002067150952812684,0.06166107915910718,False,
20260739,truth_attitude,0.4248660648602246,0.0013871599705097368,1.654500409452467,0.0007466324321952618,0.04815339326823762,False,
20260739,mekf_with_covariance,0.4137260538724938,0.0018116114634064684,0.9876956862011891,0.0011399438088561433,0.04815339326823762,False,
20260739,mekf_without_covariance,0.42228305925506743,0.0018674827703484198,5.041830371351514,0.0012265184871041897,0.04815339326823762,False,
20260740,truth_attitude,0.3927522034243948,0.001955759846844971,1.804521355230542,0.0012822337116557131,0.06018716706889908,False,
20260740,mekf_with_covariance,0.3904924318020947,0.0026183440885502365,1.4429373758306576,0.002162814005324299,0.06018716706889908,False,
20260740,mekf_without_covariance,0.4006897855526372,0.002667256377994898,7.042019963563446,0.0022805863725108965,0.06018716706889908,False,
20260741,truth_attitude,0.3976728083289371,0.0022359439519245507,1.8889344186856132,0.001625459185914107,0.055145452159106254,False,
20260741,mekf_with_covariance,0.38781542814254905,0.0027029772753967233,0.961470626126612,0.002245848023643495,0.055145452159106254,False,
20260741,mekf_without_covariance,0.390849673848579,0.0024307533059748335,4.762463368287965,0.0018957323526951682,0.055145452159106254,False,
20260742,truth_attitude,0.3949781443421791,0.0017879339007446122,1.778796656131176,0.0010970345294602337,0.06261707005827621,False,
20260742,mekf_with_covariance,0.4059537572814463,0.002085317423909638,1.3582801268031919,0.001426045425559183,0.06261707005827621,False,
20260742,mekf_without_covariance,0.40620392793093985,0.0021760393365815047,6.458107576904311,0.0015739828280013476,0.06261707005827621,False,
20260743,truth_attitude,0.40174706330591486,0.0017715338004445835,1.915885205677377,0.001076585282823644,0.054665065028850775,False,
20260743,mekf_with_covariance,0.39233165684873617,0.0019100099955720628,1.2383025546361681,0.0012127367696079608,0.054665065028850775,False,
20260743,mekf_without_covariance,0.3921953467185228,0.0020727622579338437,5.816457176757859,0.001416976750230788,0.054665065028850775,False,
20260744,truth_attitude,0.40634300810423635,0.0018969280823299462,1.9643538536443603,0.0012205181460966793,0.06126971553677731,False,
20260744,mekf_with_covariance,0.40423096206525577,0.00228373013248324,1.3316504587151319,0.001665718303044587,0.06126971553677731,False,
20260744,mekf_without_covariance,0.41225876385714055,0.0023782153082027918,5.960892365110844,0.001846835333904283,0.06126971553677731,False,
20260745,truth_attitude,0.4431279614572182,0.0021169031039202178,1.7416183813875654,0.0015443922141499598,0.05970031559296897,False,
20260745,mekf_with_covariance,0.46508047388377716,0.0024125843488661536,1.2296983000064934,0.0019092319985867952,0.05970031559296897,False,
