seed,packet_loss_rate,delay,method,position_rmse,velocity_rmse,mean_angle_nis,mean_orbit_nees,mean_attitude_error_deg,received_report_count,dropped_report_count,pending_report_count,average_delay,realized_packet_loss_rate,failed,error
20260729,0.0,0.0,truth_attitude,0.4827849781259509,0.0020547945661853356,1.7686221824497494,0.001494757422370664,0.051271702015202474,366,0,0,0.0,0.0,False,
20260729,0.0,0.0,mekf_with_covariance,0.38762219455704294,0.0022125865075996645,1.009931314399279,0.001570005586701774,0.051271702015202474,366,0,0,0.0,0.0,False,
20260729,0.0,0.0,mekf_without_covariance,0.45143177090759384,0.002236320455347929,5.244146822086547,0.0016928338206721363,0.051271702015202474,366,0,0,0.0,0.0,False,
20260730,0.0,0.0,truth_attitude,0.5025974890182374,0.002218335447427584,1.5557093939701234,0.0017121653563938102,0.051439485368907294,366,0,0,0.0,0.0,False,
20260730,0.0,0.0,mekf_with_covariance,0.3608699891979272,0.0030941257886772187,1.1356418931349421,0.0028686758307345855,0.051439485368907294,366,0,0,0.0,0.0,False,
20260730,0.0,0.0,mekf_without_covariance,0.5547530623778469,0.0031872073700065467,5.2931519470473845,0.0033499371847707845,0.051439485368907294,366,0,0,0.0,0.0,False,
20260731,0.0,0.0,truth_attitude,0.4446664242381098,0.0024476171423677834,1.5402285672171476,0.0019197569067389397,0.049053258988941736,366,0,0,0.0,0.0,False,
20260731,0.0,0.0,mekf_with_covariance,0.4292069578690642,0.0026566653862681953,1.2310361913515242,0.0021449880817287336,0.049053258988941736,366,0,0,0.0,0.0,False,
20260731,0.0,0.0,mekf_without_covariance,0.5081062802616652,0.002615535344488573,5.387039515559219,0.0022596299203869285,0.049053258988941736,366,0,0,0.0,0.0,False,
20260732,0.0,0.0,truth_attitude,0.639424464470815,0.002958702811465131,1.961407560697625,0.0029946987632608045,0.0624069848180023,366,0,0,0.0,0.0,False,
20260732,0.0,0.0,mekf_with_covariance,0.4448851855756808,0.002809412969400871,1.484404459285829,0.002458797609216556,0.0624069848180023,366,0,0,0.0,0.0,False,
20260732,0.0,0.0,mekf_without_covariance,0.505216870910508,0.003425504528062411,7.177579213685857,0.0037234552282295556,0.0624069848180023,366,0,0,0.0,0.0,False,
20260733,0.0,0.0,truth_attitude,0.4773850255853365,0.002244737248929949,1.7382901671880762,0.0016765042180822208,0.06506027804623014,366,0,0,0.0,0.0,False,
20260733,0.0,0.0,mekf_with_covariance,0.408426111066848,0.002542624518116618,2.3135886417224616,0.001996549971183956,0.06506027804623014,366,0,0,0.0,0.0,False,
20260733,0.0,0.0,mekf_without_covariance,0.5794643603908807,0.002782908564641163,10.258832614892492,0.0025969691456131307,0.06506027804623014,366,0,0,0.0,0.0,False,
20260734,0.0,0.0,truth_attitude,0.3453549051011958,0.0022737443347066533,1.752274196552603,0.001655112547497267,0.05830293399563061,366,0,0,0.0,0.0,False,
20260734,0.0,0.0,mekf_with_covariance,0.38360534817842495,0.0028509568900246213,1.3293344640175129,0.002504062725626641,0.05830293399563061,366,0,0,0.0,0.0,False,
20260734,0.0,0.0,mekf_without_covariance,0.6467717965712473,0.0032386798960161957,6.889402478889644,0.0035858955409123656,0.05830293399563061,366,0,0,0.0,0.0,False,
20260735,0.0,0.0,truth_attitude,0.5575789699078373,0.0025951531806680896,1.6325142887564337,0.0022570980038514443,0.0706712173587486,366,0,0,0.0,0.0,False,
20260735,0.0,0.0,mekf_with_covariance,0.4012228577568782,0.003261188982136925,1.8567319215862346,0.0032057464885026465,0.0706712173587486,366,0,0,0.0,0.0,False,
20260735,0.0,0.0,mekf_without_covariance,0.667026476952966,0.0033371730341522523,8.657815616680255,0.0037707586102601947,0.0706712173587486,366,0,0,0.0,0.0,False,
20260736,0.0,0.0,truth_attitude,0.4466602335929323,0.003604105968480302,1.5149586404594781,0.0037157911974600756,0.05560981334828607,366,0,0,0.0,0.0,False,
20260736,0.0,0.0,mekf_with_covariance,0.3470203652984218,0.0038512090489700047,1.1868169130870154,0.004036811684644661,0.05560981334828607,366,0,0,0.0,0.0,False,
20260736,0.0,0.0,mekf_without_covariance,0.6916686082122047,0.0046605421114800805,5.834046565378582,0.006601512387482465,0.05560981334828607,366,0,0,0.0,0.0,False,
20260737,0.0,0.0,truth_attitude,0.5038102256633037,0.001967898730972197,1.689582072172212,0.0014150609718583378,0.07088450808251456,366,0,0,0.0,0.0,False,
20260737,0.0,0.0,mekf_with_covariance,0.34423612376259344,0.0025835716653692777,2.2712354724289483,0.001993703026259763,0.07088450808251456,366,0,0,0.0,0.0,False,
20260737,0.0,0.0,mekf_without_covariance,0.4125110547527716,0.0028393650432706995,9.218548893546116,0.0025567757273010595,0.07088450808251456,366,0,0,0.0,0.0,False,
20260738,0.0,0.0,truth_attitude,0.3941508502029963,0.0018649226525645048,1.6183993230874338,0.0011700910261967033,0.06166107915910718,366,0,0,0.0,0.0,False,
20260738,0.0,0.0,mekf_with_covariance,0.3735772861482738,0.003497808350796987,1.7599308598738945,0.0037462014376190397,0.06166107915910718,366,0,0,0.0,0.0,False,
20260738,0.0,0.0,mekf_without_covariance,0.4361694668902058,0.003487175652665793,7.758859692568963,0.0038234901396539565,0.06166107915910718,366,0,0,0.0,0.0,False,
20260739,0.0,0.0,truth_attitude,0.4476047156227139,0.002250571662979817,1.49746240052638,0.0016081352385166417,0.04815339326823762,366,0,0,0.0,0.0,False,
20260739,0.0,0.0,mekf_with_covariance,0.3949891623973394,0.002883570987480413,1.031953315553957,0.0024751383256525414,0.04815339326823762,366,0,0,0.0,0.0,False,
20260739,0.0,0.0,mekf_without_covariance,0.4646515851294934,0.0031544106259753313,4.847670131251743,0.003077003858110386,0.04815339326823762,366,0,0,0.0,0.0,False,
20260740,0.0,0.0,truth_attitude,0.5174287017903093,0.0022228656282429443,1.6169586038728996,0.0017286292309103097,0.06018716706889908,366,0,0,0.0,0.0,False,
20260740,0.0,0.0,mekf_with_covariance,0.389783189763923,0.002938610345352063,1.9537511962785572,0.0026784538943330025,0.06018716706889908,366,0,0,0.0,0.0,False,
20260740,0.0,0.0,mekf_without_covariance,0.503657027013399,0.0035418016289089508,10.774498844036811,0.003987946563513875,0.06018716706889908,366,0,0,0.0,0.0,False,
20260741,0.0,0.0,truth_attitude,0.40466138630771525,0.0030714533455661547,1.6105338985262334,0.0029531285980522364,0.055145452159106254,366,0,0,0.0,0.0,False,
20260741,0.0,0.0,mekf_with_covariance,0.32740805997691647,0.0033841368199585007,1.0209443667761198,0.0032720697651339495,0.055145452159106254,366,0,0,0.0,0.0,False,
20260741,0.0,0.0,mekf_without_covariance,0.5806660930337479,0.004029400063895015,6.04030695666514,0.005148777716659343,0.055145452159106254,366,0,0,0.0,0.0,False,
20260742,0.0,0.0,truth_attitude,0.5575868005975201,0.002420787872737743,1.5684790293468462,0.002017712914953119,0.06261707005827621,366,0,0,0.0,0.0,False,
20260742,0.0,0.0,mekf_with_covariance,0.39334682920950803,0.0024710777676980075,1.5205468389117016,0.0018530732814702456,0.06261707005827621,366,0,0,0.0,0.0,False,
20260742,0.0,0.0,mekf_without_covariance,0.38216422798416577,0.002803069829576152,6.992703431693872,0.002448693544782283,0.06261707005827621,366,0,0,0.0,0.0,False,
20260743,0.0,0.0,truth_attitude,0.39540761683861836,0.002677946388804713,1.7458008068872266,0.002159896729991191,0.054665065028850775,366,0,0,0.0,0.0,False,
20260743,0.0,0.0,mekf_with_covariance,0.3290177824822692,0.002826457125080208,1.2451875810864317,0.0022443974788545554,0.054665065028850775,366,0,0,0.0,0.0,False,
20260743,0.0,0.0,mekf_without_covariance,0.4093246147152025,0.0032030884925878943,6.496010617058078,0.003100284299460805,0.054665065028850775,366,0,0,0.0,0.0,False,
20260744,0.0,0.0,truth_attitude,0.6237044448681961,0.002587281394734545,1.7879092763060773,0.0023923267736467137,0.06126971553677731,366,0,0,0.0,0.0,False,
20260744,0.0,0.0,mekf_with_covariance,0.41292548366293785,0.0026494310551947674,1.8135477697076439,0.0021349752622088175,0.06126971553677731,366,0,0,0.0,0.0,False,
20260744,0.0,0.0,mekf_without_covariance,0.4820966602424971,0.0027239324660452814,7.824473210648872,0.0024551213364490056,0.06126971553677731,366,0,0,0.0,0.0,False,
20260745,0.0,0.0,truth_attitude,0.5283558964071662,0.0025729058795329954,1.5694847177781162,0.0021982220472061428,0.05970031559296897,366,0,0,0.0,0.0,False,
20260745,0.0,0.0,mekf_with_covariance,0.40439521304748655,0.0030882137458051848,1.3868072452756488,0.0027214118817706196,0.05970031559296897,366,0,0,0.0,0.0,False,
20260745,0.0,0.0,mekf_without_covariance,0.7096613386473366,0.0034468874372901304,7.257008122885646,0.004025959835472669,0.05970031559296897,366,0,0,0.0,0.0,False,
20260746,0.0,0.0,truth_attitude,0.5341291910248028,0.0027773585094851374,1.6768742456910237,0.0025241024896917427,0.049886169395359364,366,0,0,0.0,0.0,False,
20260746,0.0,0.0,mekf_with_covariance,0.347917045691423,0.0023447415109966066,0.928237737356472,0.0016487052503240014,0.049886169395359364,366,0,0,0.0,0.0,False,
20260746,0.0,0.0,mekf_without_covariance,0.4609185756542209,0.0035231406139075924,5.059355621976097,0.0038691072571999606,0.049886169395359364,366,0,0,0.0,0.0,False,
20260747,0.0,0.0,truth_attitude,0.3585710063014983,0.003635872222828997,1.917350558806833,0.0039831842854641765,0.0658311614146237,366,0,0,0.0,0.0,False,
20260747,0.0,0.0,mekf_with_covariance,0.36742679210700574,0.00414742184657982,2.334858039523688,0.004999222709380207,0.0658311614146237,366,0,0,0.0,0.0,False,
20260747,0.0,0.0,mekf_without_covariance,0.5090396888607451,0.004537775733727769,11.3259533032318,0.006323164141251023,0.0658311614146237,366,0,0,0.0,0.0,False,
20260748,0.0,0.0,truth_attitude,0.39996847995353146,0.00397880124510883,1.7248994099312238,0.0047796858729436675,0.06235548879555353,366,0,0,0.0,0.0,False,
20260748,0.0,0.0,mekf_with_covariance,0.40865053820952063,0.0037310322290800184,1.3227434984315243,0.003726718231695467,0.06235548879555353,366,0,0,0.0,0.0,False,
20260748,0.0,0.0,mekf_without_covariance,0.49549971757149924,0.004537200589285361,6.827112228873982,0.006280220297376426,0.06235548879555353,366,0,0,0.0,0.0,False,
20260749,0.0,0.0,truth_attitude,0.3789636196342476,0.002703884568752455,1.7795914300001028,0.002256443436833062,0.04986037638883533,366,0,0,0.0,0.0,False,
