seed,satellite_id,timestamp,attitude_error_deg,attitude_nees,gyro_nis,star_tracker_nis
20260729,sat_01,0.0,0.09052554007857454,3.286143553737128,0.04064004403052845,1.2714850532830964
20260729,sat_01,2.0,0.09072560465844862,3.1719469719307534,3.272350970695684,nan
20260729,sat_01,4.0,0.09078552631518545,2.852693462445707,3.156920435923721,nan
20260729,sat_01,6.0,0.08861127343762881,2.327964491688259,0.8852549622234132,nan
20260729,sat_01,8.0,0.09114831734773964,2.053740155219519,1.7969422045740395,nan
20260729,sat_01,10.0,0.05496799370860506,1.8244625832385535,0.13481228543569374,1.931441889629131
20260729,sat_01,12.0,0.05280843822600565,1.3635359847281903,6.481688379060347,nan
20260729,sat_01,14.0,0.05314218507015088,1.1017360071889937,0.5877893652926538,nan
20260729,sat_01,16.0,0.05847733950788785,1.0652231228179698,4.3470789098917315,nan
20260729,sat_01,18.0,0.06137318431033293,0.9450116600874693,0.16736085162982084,nan
20260729,sat_01,20.0,0.06599824990798751,2.6331231997205187,1.6191508855572685,1.4288459769169424
20260729,sat_01,22.0,0.06837438432287486,2.318798327766981,0.7060221853489649,nan
20260729,sat_01,24.0,0.06879791892110701,1.9361104964295532,3.929729333213867,nan
20260729,sat_01,26.0,0.07062405140472826,1.6966259163418265,2.923718930855526,nan
20260729,sat_01,28.0,0.07234121374798647,1.4945342594554913,1.4992621021784112,nan
20260729,sat_01,30.0,0.05202832988404464,1.7380784024494635,0.9405502166974958,1.4418087956624577
20260729,sat_01,32.0,0.05772299899360711,1.825697113625359,2.4534619825355524,nan
20260729,sat_01,34.0,0.06213745939299036,1.8150245165893093,1.5732760433526878,nan
20260729,sat_01,36.0,0.06830195480186162,1.8932115059375534,0.6843243154715077,nan
20260729,sat_01,38.0,0.07542363426557577,2.0061175762597188,1.7378019212483107,nan
20260729,sat_01,40.0,0.04287481735650917,1.3025659694985423,3.4253197688112085,4.663317861499715
20260729,sat_01,42.0,0.047801444439977823,1.4225629182914625,1.1189323038830927,nan
20260729,sat_01,44.0,0.05329147507347272,1.5595225431830886,10.871886879050782,nan
20260729,sat_01,46.0,0.06120870617687243,1.8223774771784331,5.935529519550749,nan
20260729,sat_01,48.0,0.06896125915073999,2.0583697699349255,3.8808455985041546,nan
20260729,sat_01,50.0,0.08419377829632707,5.578445519994505,0.675062481132877,2.453500181074563
20260729,sat_01,52.0,0.09149295982129417,5.905159501077182,2.3305368168564367,nan
20260729,sat_01,54.0,0.09721310082489562,5.992448550510806,2.1856737104377233,nan
20260729,sat_01,56.0,0.1029633081127095,6.06129229064532,0.9680353583901224,nan
20260729,sat_01,58.0,0.10905466590193408,6.151153862125192,1.4895963412315085,nan
20260729,sat_01,60.0,0.07131116928741245,4.419896368111713,0.9972853967700108,7.410560342597257
20260729,sat_01,62.0,0.07846135160907666,4.8642981726237595,3.596120200296346,nan
20260729,sat_01,64.0,0.08153360719091604,4.785051272345796,3.864207959986753,nan
20260729,sat_01,66.0,0.08325635223044862,4.555733014424192,6.4226835599422705,nan
20260729,sat_01,68.0,0.08847395540516623,4.709287785401932,0.9008478471281518,nan
20260729,sat_01,70.0,0.04192498798124063,1.6736054233398163,1.72394275030605,3.6117025477941116
20260729,sat_01,72.0,0.04396492499034496,1.690518205588081,2.8282488956314973,nan
20260729,sat_01,74.0,0.04336610548142993,1.5131317951475505,2.46373142865826,nan
20260729,sat_01,76.0,0.041904039611738275,1.3021597652959023,5.568790410947283,nan
20260729,sat_01,78.0,0.04149510076324205,1.1791026832415055,2.867474937485139,nan
20260729,sat_01,80.0,0.02170079305901807,0.48695801345198275,2.137940248885667,1.767726855515465
