packet_loss_rate,delay,method,runs,successful_runs,failure_rate,position_rmse_mean,position_rmse_std,position_rmse_p05,position_rmse_p50,position_rmse_p95,velocity_rmse_mean,velocity_rmse_std,velocity_rmse_p05,velocity_rmse_p50,velocity_rmse_p95,mean_angle_nis_mean,mean_angle_nis_std,mean_angle_nis_p05,mean_angle_nis_p50,mean_angle_nis_p95,mean_orbit_nees_mean,mean_orbit_nees_std,mean_orbit_nees_p05,mean_orbit_nees_p50,mean_orbit_nees_p95,mean_attitude_error_deg_mean,mean_attitude_error_deg_std,mean_attitude_error_deg_p05,mean_attitude_error_deg_p50,mean_attitude_error_deg_p95,average_delay_mean,average_delay_std,average_delay_p05,average_delay_p50,average_delay_p95,realized_packet_loss_rate_mean,realized_packet_loss_rate_std,realized_packet_loss_rate_p05,realized_packet_loss_rate_p50,realized_packet_loss_rate_p95,position_rmse_win_rate,velocity_rmse_win_rate,angle_nis_consistency_win_rate
0.0,0.0,truth_attitude,30,30,0.0,0.49158459317276154,0.08947111363661217,0.36774768230123545,0.49589219515525584,0.6323504556496364,0.00259397055718577,0.0005652778465467262,0.0019110860875026627,0.0025192479089159543,0.0037251828388930527,1.6825733418440978,0.11148440043975016,1.5263301075004294,1.6535953963570444,1.8659562641492564,0.002296063146190824,0.000924317611744696,0.0012561228496718512,0.002105836708035033,0.004261091378248371,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,mekf_with_covariance,30,30,0.0,0.3935077507711321,0.046861149946130776,0.33058548141897065,0.3915650094867155,0.4617289706192591,0.003025870416488573,0.0005079975331624278,0.0022720562591282884,0.002911090666416238,0.0037971294800195105,1.5099396295144858,0.38905911463035137,1.0148871879688572,1.4300629887733969,2.2945297155403805,0.0027998182498814366,0.0008783797280388782,0.0016054204353317763,0.0025912583099798217,0.0040266524457002895,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,mekf_without_covariance,30,30,0.0,0.5225455251627724,0.09831690043730253,0.39804211909891457,0.5031047402785862,0.693896606393038,0.003369987071687564,0.0006399101010350054,0.002623092009173475,0.0032879264650842238,0.004577275788774034,7.252226277506479,1.7699764696960347,5.142511662025799,6.916373991040652,10.542449040921866,0.0037454774550932488,0.0013511424181085277,0.0022793962250916024,0.003578927056363786,0.006457913552003855,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,paired_covariance_effect,30,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9333333333333333,0.8666666666666667,1.0
0.1,0.0,truth_attitude,30,30,0.0,0.5113595028462253,0.11144519573183989,0.3478268385905396,0.5156356777008714,0.7275255145585741,0.0025119714444171008,0.0005066863396117814,0.0018280067116198417,0.0024398741211661486,0.003587906983085422,1.6875146316333696,0.11753525760371764,1.5070664080546434,1.6784620953448433,1.8949053388064798,0.002183188610809979,0.0007904879702364989,0.0012295998798366352,0.0020411781152888586,0.003796438434802997,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.1006375227686703,0.01620524048083296,0.06680327868852459,0.10382513661202186,0.12568306010928962,,,
0.1,0.0,mekf_with_covariance,30,30,0.0,0.3911225979978665,0.048182861374684784,0.328789809281823,0.3853991099096129,0.4730648566617932,0.0031058668970304734,0.0005379017708525269,0.002343335943158906,0.0029756833972465198,0.003953128246901319,1.4924644480861788,0.3806715393702492,1.008422475855842,1.4321131536693839,2.2456038246726115,0.0029335797843407676,0.0009239311176030064,0.0017054909455060656,0.0026802096466900724,0.004279881472036316,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.1006375227686703,0.01620524048083296,0.06680327868852459,0.10382513661202186,0.12568306010928962,,,
0.1,0.0,mekf_without_covariance,30,30,0.0,0.4778695696140625,0.08197338126996026,0.35266504990039993,0.5020735923007335,0.615076209523265,0.0035108133591519575,0.0007954014852329244,0.0026693993581628855,0.0033190281215784807,0.0047076660642546755,7.132323525184178,1.8124947545270236,5.0773135212802805,6.680232578656133,10.512982780713163,0.004042072458847078,0.0017954440087006795,0.0023290325551328307,0.0035494985553813597,0.006619788353587298,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.1006375227686703,0.01620524048083296,0.06680327868852459,0.10382513661202186,0.12568306010928962,,,
0.1,0.0,paired_covariance_effect,30,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9333333333333333,1.0
0.2,0.0,truth_attitude,30,30,0.0,0.49501372575904984,0.10192958011589769,0.3596477215127232,0.49193380653225205,0.6486993213654956,0.0025563124683322244,0.00047917781317492785,0.0018638304950694326,0.0025237212506983566,0.003460286239470183,1.702498227229864,0.11048156886427271,1.5465241603960462,1.6863447878640323,1.9098601954149645,0.0022248856595058187,0.0007396827082753128,0.001343483079055986,0.0021554696887271076,0.003624045448875645,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.2040072859744991,0.018312033148129483,0.17062841530054645,0.2062841530054645,0.22950819672131148,,,
0.2,0.0,mekf_with_covariance,30,30,0.0,0.3984895004953798,0.05021742863645521,0.3340376667603574,0.3900191151471186,0.4833430356153365,0.003338023546958855,0.0006506396926936078,0.0025720498989828156,0.0033392485910097164,0.004578701523384775,1.468343243829546,0.37825707118693785,0.9947406788364521,1.4170132609688972,2.2082536851461034,0.003363494662610096,0.0011981262596794443,0.0020199436326493875,0.003231053891502763,0.005901988197783405,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.2040072859744991,0.018312033148129483,0.17062841530054645,0.2062841530054645,0.22950819672131148,,,
0.2,0.0,mekf_without_covariance,30,30,0.0,0.46360267922049886,0.07023471621157723,0.36957574407381716,0.45951469992061184,0.5839422410487425,0.0037138559948145466,0.0008263029983490434,0.0026089397300449236,0.003576347915706479,0.005025634153814929,6.990547985897044,1.7184068111926099,4.945391120816895,6.639205124428397,10.167533679670148,0.0044674211847085124,0.0019040457403781388,0.002131501069319503,0.004041323797569484,0.0077124648969813525,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.2040072859744991,0.018312033148129483,0.17062841530054645,0.2062841530054645,0.22950819672131148,,,
0.2,0.0,paired_covariance_effect,30,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8333333333333334,1.0
0.4,0.0,truth_attitude,30,30,0.0,0.4320322603454324,0.09269755579910217,0.30123423568468166,0.41533945069379885,0.5717383438737696,0.002595391988587513,0.00042996498863842,0.001983360663487796,0.0025691861299161436,0.003364149065851818,1.7201507464680115,0.11014181430322996,1.5584881609843182,1.710649498724485,1.8867137726141903,0.002194877299183111,0.0006706696093027677,0.0012980415914738584,0.0021468004977581697,0.0032705578267537504,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.4050091074681239,0.021545765791092752,0.376775956284153,0.4030054644808743,0.4431693989071038,,,
0.4,0.0,mekf_with_covariance,30,30,0.0,0.40356494094175155,0.05163357174570893,0.34675543890967103,0.3863689636130595,0.48423224559458095,0.0035046866409974577,0.0006216910909069848,0.00275070123023368,0.003419186481826442,0.004857757116603192,1.384672270828983,0.33844110251311804,0.9595008790778033,1.3351784067120827,2.000308316967756,0.003651398271238598,0.0012383558089867255,0.0022386136721217623,0.0033856727793809584,0.006480002884746331,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.4050091074681239,0.021545765791092752,0.376775956284153,0.4030054644808743,0.4431693989071038,,,
0.4,0.0,mekf_without_covariance,30,30,0.0,0.4153407098806183,0.07452686614398876,0.3410381538295892,0.3953971196827072,0.5641659856749571,0.00387936419362233,0.0008148370759065273,0.002863630543514678,0.0036630500062891096,0.0053775468359994185,6.592411084423163,1.5182712205353739,4.692752486595231,6.174030012940799,9.276765541278712,0.004770297203795954,0.00202333259703155,0.002635880136638569,0.004183191297222331,0.008622034008987216,0.05843900973726741,0.006053446902335956,0.04941646181889385,0.059704636925132976,0.06849319218389238,0.0,0.0,0.0,0.0,0.0,0.4050091074681239,0.021545765791092752,0.376775956284153,0.4030054644808743,0.4431693989071038,,,
0.4,0.0,paired_covariance_effect,30,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43333333333333335,0.9,1.0
