seed,disconnected_nodes,normal_position_rmse_m,disconnected_position_rmse_m,position_rmse_increase_percent,normal_velocity_rmse_mps,disconnected_velocity_rmse_mps,velocity_rmse_increase_percent,normal_acceleration_rmse_mps2,disconnected_acceleration_rmse_mps2,acceleration_rmse_increase_percent,normal_affected_position_rmse_m,disconnected_affected_position_rmse_m,affected_position_rmse_increase_percent,normal_remaining_position_rmse_m,disconnected_remaining_position_rmse_m,remaining_position_rmse_increase_percent,normal_position_error_p95_m,disconnected_position_error_p95_m,normal_worst_node_position_rmse_m,disconnected_worst_node_position_rmse_m,protocol_rejection_count
0,sat_p01_s01;sat_p03_s02;sat_p06_s01;sat_p08_s02,1.4618469242431424,1.4939198143319163,2.193997850040238,0.02407362299136491,0.025540945621936414,6.095146671931459,2.379877539267502e-06,2.3604958484630414e-06,-0.8143986606313428,1.47460858815383,1.6869914093982104,14.402657284824166,1.4586390627343908,1.4416173246465387,-1.1669602523836753,2.391255007702651,2.4335192248964717,1.8747605916185919,2.0440252896688453,0
1,sat_p01_s01;sat_p03_s02;sat_p06_s01;sat_p08_s02,1.4808932697058723,1.5652435088550714,5.6959026605578575,0.023068421245791473,0.024993898488632125,8.34680978955996,2.2991950079778315e-06,2.4612915362306435e-06,7.050142666905744,1.2490646993166246,1.5747648722552383,26.07552459987121,1.5333836570002481,1.562854104449262,1.921922626113471,2.526412003489653,2.6355400683945764,2.1901883346488944,2.1901883346488944,0
2,sat_p01_s01;sat_p03_s02;sat_p06_s01;sat_p08_s02,1.515670000170359,1.5455781512298592,1.9732627192026404,0.023208475219118778,0.024309241521672433,4.742949686099418,2.4879719899205085e-06,2.485664616793082e-06,-0.09274112155499012,1.5902309981082066,1.619911426093847,1.8664224267385852,1.4964493910368182,1.5264293366715462,2.0034052480689897,2.706997359142534,2.707531224394947,2.274768184501232,2.2934433909460727,0
