information_id,timestamp,observer_id,target_id,modality,navigation_discrepancy,navigation_quality,frontend_quality,shadow_quality,feedback_quality,valid
sat_p01_s01->sat_p02_s01:radar:10,20.0,sat_p01_s01,sat_p02_s01,RADAR,0.12380178221915725,0.9923658486542242,0.6613873778691961,0.6563382465283568,0.5822825538652309,True
sat_p01_s01->sat_p10_s02:infrared:0,0.0,sat_p01_s01,sat_p10_s02,INFRARED,0.0,1.0,0.5928499831910867,0.5928499831910867,1.0,True
sat_p01_s01->sat_p10_s02:infrared:1,2.0,sat_p01_s01,sat_p10_s02,INFRARED,6.550690233214304e-05,0.9834714517115036,0.6279035062925136,0.6175251728682416,0.5928499831910867,True
sat_p01_s01->sat_p10_s02:infrared:2,4.0,sat_p01_s01,sat_p10_s02,INFRARED,0.00010771446648105549,0.9999999941987968,0.6079002050475695,0.6079002015210169,0.6175251728682416,True
sat_p01_s01->sat_p10_s02:infrared:3,6.0,sat_p01_s01,sat_p10_s02,INFRARED,0.001050673770483045,0.9834709109871393,0.6048549774580606,0.5948572756957845,0.6079002015210169,True
sat_p01_s01->sat_p10_s02:infrared:4,8.0,sat_p01_s01,sat_p10_s02,INFRARED,0.0010255797161336667,0.9999994740932612,0.61885267830847,0.6188523528496761,0.5948572756957845,True
sat_p01_s01->sat_p10_s02:infrared:5,10.0,sat_p01_s01,sat_p10_s02,INFRARED,0.001862763172525881,0.9834697475558699,0.6125006786226779,0.602375887782844,0.6188523528496761,True
sat_p01_s01->sat_p10_s02:infrared:6,12.0,sat_p01_s01,sat_p10_s02,INFRARED,0.0018362175275699615,0.9999983141540167,0.6517087428728152,0.6517076441922488,0.602375887782844,True
sat_p01_s01->sat_p10_s02:infrared:7,14.0,sat_p01_s01,sat_p10_s02,INFRARED,0.0025299050337364544,0.9834683065117281,0.5838887403461941,0.5742360706595376,0.6517076441922488,True
sat_p01_s01->sat_p10_s02:infrared:8,16.0,sat_p01_s01,sat_p10_s02,INFRARED,0.0025100718963674664,0.9999968497744995,0.5996489523595072,0.5996470633300862,0.5742360706595376,True
sat_p01_s01->sat_p10_s02:infrared:9,18.0,sat_p01_s01,sat_p10_s02,INFRARED,0.003070789050238362,0.9834668168898444,0.6200072675345204,0.6097565738507449,0.5996470633300862,True
