num_neurons,internal_dt,phase_rmse_deg,maximum_phase_error_deg,drift_rate_deg_per_hour
36,0.001,0.35097136815668656,0.6760265803474361,-42.69880734976334
36,0.002,0.3509652609217576,0.6760184692394084,-42.6984136053358
72,0.001,5.589902943457672e-05,8.943501140579936e-05,-0.002748828549484919
72,0.002,5.405855815212845e-05,8.738869180962109e-05,-0.002700344598993783
180,0.001,2.6842749720257564e-05,4.408891621865102e-05,-0.00018795869302785305
180,0.002,2.515879982477901e-05,4.2042786158087314e-05,-0.00013939687960544219
