seed,baseline_position_rmse_m,feedback_position_rmse_m,baseline_mean_nis,feedback_mean_nis,mean_inflation,maximum_inflation,rejected_count
0,2.338288971955235,2.333476235700815,2.3254991841764476,1.6683814533938888,1.5832272740118962,1.9512550867706653,0
1,2.40447444630759,2.415098274938613,2.39450796772174,1.7149495792202274,1.5814198462938864,1.9004802662043463,0
2,2.604365377351678,2.601797042892913,2.3683689109613955,1.6942616803750161,1.5845936727413152,2.0237648132094836,0
