num_neurons,tuning_width_m,maximum_anchor_gain,radial_rmse_m,maximum_radial_error_m,posterior_tracking_rmse_m,boundary_saturation_fraction
81,500.0,0.25,11.518003261390485,35.654218376787796,5.514287110072811,0.0
81,500.0,0.4,10.562193366517791,32.52409322149826,3.513399715239539,0.0
81,1000.0,0.25,11.518010072539115,35.654279575237986,5.514293027124088,0.0
81,1000.0,0.4,10.56219754459375,32.52413758676411,3.5134023984183758,0.0
161,500.0,0.25,11.518010072539132,35.65427957523798,5.514293027124097,0.0
161,500.0,0.4,10.562197544593767,32.52413758676391,3.5134023984183913,0.0
161,1000.0,0.25,11.518010072539125,35.654279575238036,5.514293027124101,0.0
161,1000.0,0.4,10.562197544593758,32.52413758676405,3.5134023984183655,0.0
321,500.0,0.25,11.518010072539145,35.654279575237965,5.514293027124115,0.0
321,500.0,0.4,10.562197544593769,32.52413758676391,3.5134023984183913,0.0
321,1000.0,0.25,11.518010072539138,35.6542795752383,5.5142930271241015,0.0
321,1000.0,0.4,10.562197544593758,32.52413758676407,3.513402398418373,0.0
