minimum_bias_baseline_s,line_cue_gain,case,run_count,mean_outage_rmse_deg,maximum_outage_rmse_deg,mean_final_rate_bias_deg_s,maximum_abs_error_deg
60.0,0.1,initial_phase_offset,2,0.4105726137859498,0.6466047337088857,-0.0021954493730511468,2.475446178753083
60.0,0.1,time_varying_rate_bias,2,0.46481418903070143,0.5725019262925549,-0.001918032420187772,0.9857989977123862
60.0,0.2,initial_phase_offset,2,0.53794333399319,0.6310256894866947,-0.002582057329358003,2.475446178753083
60.0,0.2,time_varying_rate_bias,2,0.6514171559425389,1.062369473502794,-0.0018209298632764267,1.4781009469013338
120.0,0.1,initial_phase_offset,2,0.5995971315949566,0.8644053333328946,-0.0014663344275096422,2.475446178753083
120.0,0.1,time_varying_rate_bias,2,0.4267363840889541,0.5669386087635384,-0.001494135889892315,1.2588798451543868
120.0,0.2,initial_phase_offset,2,0.4178791015294302,0.7100503685535046,-0.0022206574918894996,2.475446178753083
120.0,0.2,time_varying_rate_bias,2,0.42236570299024023,0.475656685048502,-0.002107985055297686,0.8794630481476795
