seed,missing_modality,duration_seconds,dt_seconds,reference_position_rmse_m,dropout_position_rmse_m,position_rmse_increase_percent,reference_velocity_rmse_mps,dropout_velocity_rmse_mps,velocity_rmse_increase_percent,reference_acceleration_rmse_mps2,dropout_acceleration_rmse_mps2,acceleration_rmse_increase_percent,missing_modality_valid_count,remaining_modality_valid_count,dropout_optical_valid_count,dropout_infrared_valid_count,dropout_radar_valid_count,reference_mean_ci_weight_optical,reference_mean_ci_weight_infrared,reference_mean_ci_weight_radar,dropout_mean_ci_weight_optical,dropout_mean_ci_weight_infrared,dropout_mean_ci_weight_radar,reference_local_position_rmse_optical_m,reference_local_position_rmse_infrared_m,reference_local_position_rmse_radar_m,dropout_local_position_rmse_optical_m,dropout_local_position_rmse_infrared_m,dropout_local_position_rmse_radar_m,reference_radial_rmse_m,reference_transverse_rmse_m,reference_normal_rmse_m,dropout_radial_rmse_m,dropout_transverse_rmse_m,dropout_normal_rmse_m,finite
0,opt,120.0,2.0,9.614297119509637,9.614295171905413,-2.025737502662673e-05,0.10095731992245705,0.10095705517406782,-0.0002622379332462055,1.4903917018546762e-05,1.4903916234229504e-05,-5.262490769133119e-06,0,122,0,61,61,0.0,0.9811111111111113,0.018888888888888882,0.0,0.9811111111111113,0.018888888888888882,10.340562855721574,10.101383785863343,12.896476202320809,13.224142453090591,10.101381745717218,12.896476244602388,5.169161330100852,1.8014320143277358,7.903753724859319,5.169161938983317,1.8014277472988924,7.903751930090923,True
0,ir,120.0,2.0,9.614297119509637,9.911421974709029,3.0904480224192072,0.10095731992245705,0.09168802758153105,-9.181396998301382,1.4903917018546762e-05,1.504078425135174e-05,0.9183306149293318,0,122,61,0,61,0.0,0.9811111111111113,0.018888888888888882,0.9850000000000001,0.0,0.014999999999999996,10.340562855721574,10.101383785863343,12.896476202320809,10.385490847144112,13.462641482405239,13.142341094691032,5.169161330100852,1.8014320143277358,7.903753724859319,5.087217358841584,2.5364474040712155,8.1192942840613,True
0,rad,120.0,2.0,9.614297119509637,31.017470346536427,222.61817958168564,0.10095731992245705,0.1007410166125617,-0.21425223060743295,1.4903917018546762e-05,3.653305011680776e-05,145.12381591594502,0,122,61,61,0,0.0,0.9811111111111113,0.018888888888888882,0.0,1.0,0.0,10.340562855721574,10.101383785863343,12.896476202320809,31.101310431865024,31.017470346224574,32.1366066434724,5.169161330100852,1.8014320143277358,7.903753724859319,5.204160166180104,24.618050214340453,18.137028072600813,True
1,opt,120.0,2.0,9.342077167493782,9.342074969655043,-2.352623190799399e-05,0.07015141808372721,0.0701510648126872,-0.0005035836048199757,1.453060787193899e-05,1.453060227005079e-05,-3.855233208493066e-05,0,122,0,61,61,0.0,0.9811111111111113,0.018888888888888882,0.0,0.9811111111111113,0.018888888888888882,10.156869118530114,9.841805384672414,12.667158164828667,13.031284186312977,9.841803796257812,12.667154469567931,5.058217296300277,1.490082111972197,7.711582126032406,5.058214468986742,1.4900826184923506,7.711581220120787,True
1,ir,120.0,2.0,9.342077167493782,10.203219248334104,9.21788661558811,0.07015141808372721,0.09924408457572143,41.471245039225714,1.453060787193899e-05,1.6112105409844177e-05,10.883904870623619,0,122,61,0,61,0.0,0.9811111111111113,0.018888888888888882,0.9850000000000001,0.0,0.014999999999999996,10.156869118530114,9.841805384672414,12.667158164828667,10.66447183092646,13.670075351556353,13.324940274170102,5.058217296300277,1.490082111972197,7.711582126032406,5.713133947269207,2.31840334606677,8.129624189058244,True
1,rad,120.0,2.0,9.342077167493782,28.785574999927515,208.12820836128762,0.07015141808372721,0.0763889336727588,8.891503207514605,1.453060787193899e-05,3.4074838033690036e-05,134.5038716480278,0,122,61,61,0,0.0,0.9811111111111113,0.018888888888888882,0.0,1.0,0.0,10.156869118530114,9.841805384672414,12.667158164828667,28.594386789065943,28.785575000079117,30.031621716141743,5.058217296300277,1.490082111972197,7.711582126032406,5.074368964192881,22.084140206361386,17.7524888125052,True
2,opt,120.0,2.0,9.389317302069596,9.38931336213469,-4.196188902316613e-05,0.08017356156342131,0.08017312171575165,-0.0005486193466827591,1.4417036133564297e-05,1.441702633591835e-05,-6.795880829051246e-05,0,122,0,61,61,0.0,0.9811111111111113,0.018888888888888882,0.0,0.9811111111111113,0.018888888888888882,9.936520655910643,9.885775487127056,12.731339015984098,13.068588254094413,9.88577180299801,12.73133587669172,4.943240359646036,1.726887220276583,7.7936842811457065,4.943235396825611,1.7268845282061223,7.793683278813474,True
2,ir,120.0,2.0,9.389317302069596,10.324728896577689,9.962509141126896,0.08017356156342131,0.10148703305448828,26.58416449942409,1.4417036133564297e-05,1.583373662939314e-05,9.82657241546772,0,122,61,0,61,0.0,0.9811111111111113,0.018888888888888882,0.9850000000000001,0.0,0.014999999999999996,9.936520655910643,9.885775487127056,12.731339015984098,10.779188386547641,13.79017308681612,13.472017824926722,4.943240359646036,1.726887220276583,7.7936842811457065,5.429469053693195,2.653967587821727,8.37122145363161,True
2,rad,120.0,2.0,9.389317302069596,20.249778403909012,115.66827227625538,0.08017356156342131,0.09222880094014035,15.036427397805872,1.4417036133564297e-05,2.4887177211908092e-05,72.62339485969841,0,122,61,61,0,0.0,0.9811111111111113,0.018888888888888882,0.0,1.0,0.0,9.936520655910643,9.885775487127056,12.731339015984098,20.388245768455754,20.24977840356353,22.07262196813247,4.943240359646036,1.726887220276583,7.7936842811457065,4.971464759671068,14.718706181039822,12.988369871017946,True
