algorithm,node_id,position_rmse,velocity_rmse,mean_nees,mean_nis
independent,sat_01,31.068176882523133,0.024847419724256033,0.43999959624672774,
independent,sat_02,29.70079114139014,0.024730537332201544,0.40719965227649746,
independent,sat_03,21.882786116314644,0.024406946057641512,0.2475995396884577,
v14_distributed,sat_01,8.5589037881962,0.02764795028183529,6146.989676924749,0.4608658863461005
v14_distributed,sat_02,9.60403867288755,0.01875393557741906,6025.138671136461,0.4608658863461005
v14_distributed,sat_03,8.394414000975903,0.038099650209418655,2536.791899501112,0.4608658863461005
centralized_fleet_ekf,sat_01,24.096482521448987,0.6408206927349018,115.62033144406755,752.636741366203
centralized_fleet_ekf,sat_02,21.800347738318614,0.6166128093670313,110.32824497914093,752.636741366203
centralized_fleet_ekf,sat_03,21.153008732693763,1.1539835682327626,379.2378279029768,752.636741366203
distributed_fleet_state_ci,sat_01,8.229119896936204,0.4863341150047785,61.76675870459018,191.3250699568169
distributed_fleet_state_ci,sat_02,11.144304660052564,0.3188623324165259,28.611071183081837,191.3250699568169
distributed_fleet_state_ci,sat_03,7.636424754867096,0.49987177532559557,66.21402464033682,191.3250699568169
