seed,independent_position_rmse_m,cooperative_position_rmse_m,cooperative_improvement_percent,independent_worst_node_position_rmse_m,cooperative_worst_node_position_rmse_m,independent_run_seconds,cooperative_run_seconds
0,1.5907720014141415,1.4666736426012497,7.80114049672566,2.2937728275882514,1.8680185166493728,2.488493999990169,9.853170899994439
1,1.7373474611115114,1.4852868430791037,14.508359650242076,2.978446061054641,2.2656219586287683,2.1348401000141166,9.025967599998694
2,1.6809282691653569,1.538140459123582,8.494580801634932,2.498708782424346,2.2908978152916393,2.151154499995755,9.340684599999804
3,1.547948661337586,1.396616446266191,9.776307112189912,1.9759472680927799,2.1394530365634776,2.1983728000195697,8.966381200007163
4,1.6689482384065946,1.455506182735335,12.78901590591212,2.325122895466807,1.9720105541687194,2.120754700008547,9.035029199993005
