time_s,truth_phase_rad,measured_rate_rad_s,phase_hint_rad,hint_available,hint_accepted,mode,decoded_phase_rad,truth_error_rad,bump_concentration
0.0,0.6981317007977318,0.0012462749410143159,nan,0,0,dead_reckoning,0.6981317007977318,0.0,
0.0,0.6981317007977318,0.0012462749410143159,nan,0,0,gated_complementary,0.6981317007977318,0.0,
0.0,0.6981317007977318,0.0012462749410143159,nan,0,0,pll,0.6981317007977318,0.0,
0.0,0.6981317007977318,0.0012462749410143159,nan,0,0,cann_no_cue,0.6981317007977319,0.0,0.7961740796645927
0.0,0.6981317007977318,0.0012462749410143159,nan,0,0,cann_sparse_cue,0.6981317007977319,0.0,0.7961740796645927
0.0,0.6981317007977318,0.0012462749410143159,nan,0,0,cann_gated_cue,0.6981317007977319,0.0,0.7961740796645927
2.0,0.700226095900125,0.0012428442724221915,nan,0,0,dead_reckoning,0.7006242506797604,0.0003981547796354512,
2.0,0.700226095900125,0.0012428442724221915,nan,0,0,gated_complementary,0.7006242506797604,0.0003981547796354512,
2.0,0.700226095900125,0.0012428442724221915,nan,0,0,pll,0.7006242506797604,0.0003981547796354512,
2.0,0.700226095900125,0.0012428442724221915,nan,0,0,cann_no_cue,0.7006242503929674,0.0003981544928421954,0.7961706624236412
2.0,0.700226095900125,0.0012428442724221915,nan,0,0,cann_sparse_cue,0.7006242503929674,0.0003981544928421954,0.7961706624236412
2.0,0.700226095900125,0.0012428442724221915,nan,0,0,cann_gated_cue,0.7006242503929674,0.0003981544928421954,0.7961706624236412
4.0,0.7023424170435382,0.0005011146054953821,nan,0,0,dead_reckoning,0.7031099392246049,0.0007675221810665711,
4.0,0.7023424170435382,0.0005011146054953821,nan,0,0,gated_complementary,0.7031099392246049,0.0007675221810665711,
4.0,0.7023424170435382,0.0005011146054953821,nan,0,0,pll,0.7031099392246049,0.0007675221810665711,
4.0,0.7023424170435382,0.0005011146054953821,nan,0,0,cann_no_cue,0.7031099389376492,0.0007675218941107786,0.7961706624233708
4.0,0.7023424170435382,0.0005011146054953821,nan,0,0,cann_sparse_cue,0.7031099389376492,0.0007675218941107786,0.7961706624233708
4.0,0.7023424170435382,0.0005011146054953821,nan,0,0,cann_gated_cue,0.7031099389376492,0.0007675218941107786,0.7961706624233708
6.0,0.7044806257622449,0.0012164124945780025,nan,0,0,dead_reckoning,0.7041121684355955,-0.0003684573266493629,
