modality,operating_point,validation_sample_count,fixed_mean_nis,empirical_mean_nis,bias_corrected_mean_nis,fixed_nis_95_exceedance_fraction,empirical_nis_95_exceedance_fraction,bias_corrected_nis_95_exceedance_fraction
OPTICAL,center_high_snr,300,0.07773447619675364,2.625141424442416,1.9051921557636486,0.0,0.1,0.04666666666666667
OPTICAL,off_axis_low_snr,300,0.6569614332862902,2.3558731820665595,2.260279669109088,0.0,0.08333333333333333,0.06333333333333334
RADAR,center_high_snr,300,0.2439963112145226,2.7597158689066124,1.8729487532370717,0.0,0.11333333333333333,0.03666666666666667
RADAR,offset_low_snr,300,0.34684967785156895,3.0499233257404192,1.8139320958813168,0.0,0.12333333333333334,0.03666666666666667
