scenario,label,position_rmse_m,position_rmse_outage_m,position_rmse_recovery_m,velocity_rmse_mps,velocity_rmse_outage_mps,velocity_rmse_recovery_mps,cann_phase_rmse_deg,cann_max_phase_error_deg
none,No outage,15.124089167881703,4.699512843401277,4.634151882338834,0.08344554464510605,0.04753577747585681,0.06318216486706653,0.0037156906398435325,0.004109089358053447
ir,IR outage,15.129803833755037,4.727132182788327,4.661908093675768,0.08351453615766957,0.04756845182363531,0.06343077338350002,0.003715702008716697,0.004109089358053447
opt,Optical outage,18.10182570701844,18.00066187642931,3.9590846161543314,0.10393060889428053,0.1117718776436137,0.07247485631425007,0.0037118678716878367,0.004109089358053447
rad,Radar outage,21.45980134629791,25.202077853368706,10.124235484481186,0.09207849530321881,0.08038393201105802,0.06577974800165066,0.0037671967560698504,0.004436064199301431
all,All-modal outage,41.58431993969837,66.71914680792786,9.160032958261914,0.17303673114184992,0.26524514751560785,0.06842450392394654,0.003769251076041653,0.004479010692643825
