time_s,truth_phase_rad,measured_rate_rad_s,phase_hint_rad,hint_available,hint_accepted,mode,decoded_phase_rad,truth_error_rad,bump_concentration
0.0,0.6981317007977318,0.001108622301471002,nan,0,0,dead_reckoning,0.6981317007977318,0.0,
0.0,0.6981317007977318,0.001108622301471002,nan,0,0,cann_no_cue,0.698131700797732,0.0,0.7961740796645929
0.0,0.6981317007977318,0.001108622301471002,nan,0,0,cann_sparse_cue,0.698131700797732,0.0,0.7961740796645929
0.0,0.6981317007977318,0.001108622301471002,nan,0,0,cann_gated_cue,0.698131700797732,0.0,0.7961740796645929
2.0,0.700226095900125,0.0010671897156153292,nan,0,0,dead_reckoning,0.7003489454006738,0.00012284950054874955,
2.0,0.700226095900125,0.0010671897156153292,nan,0,0,cann_no_cue,0.7003489451455872,0.00012284924546213105,0.7961706624133824
2.0,0.700226095900125,0.0010671897156153292,nan,0,0,cann_sparse_cue,0.7003489451455872,0.00012284924546213105,0.7961706624133824
2.0,0.700226095900125,0.0010671897156153292,nan,0,0,cann_gated_cue,0.7003489451455872,0.00012284924546213105,0.7961706624133824
4.0,0.7023424170435382,0.0010413327397588569,nan,0,0,dead_reckoning,0.7024833248319045,0.0001409077883662846,
4.0,0.7023424170435382,0.0010413327397588569,nan,0,0,cann_no_cue,0.7024833245767151,0.0001409075331770815,0.7961706624105293
4.0,0.7023424170435382,0.0010413327397588569,nan,0,0,cann_sparse_cue,0.7024833245767151,0.0001409075331770815,0.7961706624105293
4.0,0.7023424170435382,0.0010413327397588569,nan,0,0,cann_gated_cue,0.7024833245767151,0.0001409075331770815,0.7961706624105293
6.0,0.7044806257622449,0.0011923555869400053,nan,0,0,dead_reckoning,0.7045659903114222,8.536454917740244e-05,
6.0,0.7044806257622449,0.0011923555869400053,nan,0,0,cann_no_cue,0.7045659900561371,8.536429389227607e-05,0.7961706624088041
6.0,0.7044806257622449,0.0011923555869400053,nan,0,0,cann_sparse_cue,0.7045659900561371,8.536429389227607e-05,0.7961706624088041
6.0,0.7044806257622449,0.0011923555869400053,nan,0,0,cann_gated_cue,0.7045659900561371,8.536429389227607e-05,0.7961706624088041
8.0,0.7066406451922741,0.0011327786723255256,nan,0,0,dead_reckoning,0.7069507014853021,0.0003100562930278272,
8.0,0.7066406451922741,0.0011327786723255256,nan,0,0,cann_no_cue,0.7069507012298746,0.0003100560376005923,0.7961706624194798
8.0,0.7066406451922741,0.0011327786723255256,nan,0,0,cann_sparse_cue,0.7069507012298746,0.0003100560376005923,0.7961706624194798
8.0,0.7066406451922741,0.0011327786723255256,nan,0,0,cann_gated_cue,0.7069507012298746,0.0003100560376005923,0.7961706624194798
10.0,0.7088223602062559,0.0014476589196770798,nan,0,0,dead_reckoning,0.7092162588299532,0.0003938986236970976,
10.0,0.7088223602062559,0.0014476589196770798,nan,0,0,cann_no_cue,0.7092162585744026,0.00039389836814685,0.7961706624150958
10.0,0.7088223602062559,0.0014476589196770798,nan,0,0,cann_sparse_cue,0.7092162585744026,0.00039389836814685,0.7961706624150958
10.0,0.7088223602062559,0.0014476589196770798,nan,0,0,cann_gated_cue,0.7092162585744026,0.00039389836814685,0.7961706624150958
12.0,0.7110256176153938,0.0012045883132277809,nan,0,0,dead_reckoning,0.7121115766693074,0.001085959053913399,
12.0,0.7110256176153938,0.0012045883132277809,nan,0,0,cann_no_cue,0.7121115764135023,0.0010859587981082441,0.79617066244081
12.0,0.7110256176153938,0.0012045883132277809,nan,0,0,cann_sparse_cue,0.7121115764135023,0.0010859587981082441,0.79617066244081
12.0,0.7110256176153938,0.0012045883132277809,nan,0,0,cann_gated_cue,0.7121115764135023,0.0010859587981082441,0.79617066244081
14.0,0.7132502264382102,0.0012745166229281748,nan,0,0,dead_reckoning,0.7145207532957629,0.0012705268575525785,
14.0,0.7132502264382102,0.0012745166229281748,nan,0,0,cann_no_cue,0.714520753039808,0.0012705266015977656,0.7961706624204077
14.0,0.7132502264382102,0.0012745166229281748,nan,0,0,cann_sparse_cue,0.714520753039808,0.0012705266015977656,0.7961706624204077
14.0,0.7132502264382102,0.0012745166229281748,nan,0,0,cann_gated_cue,0.714520753039808,0.0012705266015977656,0.7961706624204077
16.0,0.7154959582355925,0.0013963709437064078,nan,0,0,dead_reckoning,0.7170697865416193,0.0015738283060269254,
16.0,0.7154959582355925,0.0013963709437064078,nan,0,0,cann_no_cue,0.7170697862854897,0.0015738280498971413,0.7961706624258938
16.0,0.7154959582355925,0.0013963709437064078,nan,0,0,cann_sparse_cue,0.7170697862854897,0.0015738280498971413,0.7961706624258938
16.0,0.7154959582355925,0.0013963709437064078,nan,0,0,cann_gated_cue,0.7170697862854897,0.0015738280498971413,0.7961706624258938
18.0,0.7177625475115532,0.0011894496750994585,nan,0,0,dead_reckoning,0.7198625284290321,0.002099980917479094,
18.0,0.7177625475115532,0.0011894496750994585,nan,0,0,cann_no_cue,0.7198625281726728,0.002099980661119716,0.7961706624361939
18.0,0.7177625475115532,0.0011894496750994585,nan,0,0,cann_sparse_cue,0.7198625281726728,0.002099980661119716,0.7961706624361939
18.0,0.7177625475115532,0.0011894496750994585,nan,0,0,cann_gated_cue,0.7198625281726728,0.002099980661119716,0.7961706624361939
20.0,0.7200496921789997,0.0015029482339510532,0.7217042440369816,1,1,dead_reckoning,0.7222414277792311,0.002191735600231226,
20.0,0.7200496921789997,0.0015029482339510532,0.7217042440369816,1,1,cann_no_cue,0.7222414275227276,0.002191735343727963,0.7961706624192607
20.0,0.7200496921789997,0.0015029482339510532,0.7217042440369816,1,1,cann_sparse_cue,0.7219771155211522,0.0019274233421526787,0.8542898059857664
20.0,0.7200496921789997,0.0015029482339510532,0.7217042440369816,1,1,cann_gated_cue,0.7219771155211522,0.0019274233421526787,0.8542898059857664
22.0,0.7223570540896984,0.0011543851134193737,nan,0,0,dead_reckoning,0.7252473242471331,0.0028902701574349265,
22.0,0.7223570540896984,0.0011543851134193737,nan,0,0,cann_no_cue,0.725247323990345,0.002890269900646558,0.7961706624459728
22.0,0.7223570540896984,0.0011543851134193737,nan,0,0,cann_sparse_cue,0.7249785523413539,0.002621498251655474,0.796170662445973
22.0,0.7223570540896984,0.0011543851134193737,nan,0,0,cann_gated_cue,0.7249785523413539,0.002621498251655474,0.796170662445973
24.0,0.7246842596275007,0.001129813353449385,nan,0,0,dead_reckoning,0.7275560944739718,0.002871834846470911,
24.0,0.7246842596275007,0.001129813353449385,nan,0,0,cann_no_cue,0.7275560942170509,0.002871834589550204,0.7961706624166599
24.0,0.7246842596275007,0.001129813353449385,nan,0,0,cann_sparse_cue,0.72728732256806,0.00260306294055912,0.7961706624166597
24.0,0.7246842596275007,0.001129813353449385,nan,0,0,cann_gated_cue,0.72728732256806,0.00260306294055912,0.7961706624166597
26.0,0.7270309003637936,0.0012156596236223465,nan,0,0,dead_reckoning,0.7298157211808707,0.002784820817077094,
26.0,0.7270309003637936,0.0012156596236223465,nan,0,0,cann_no_cue,0.7298157209238278,0.0027848205600342624,0.7961706624148837
26.0,0.7270309003637936,0.0012156596236223465,nan,0,0,cann_sparse_cue,0.7295469492748369,0.0025160489110431783,0.7961706624148838
26.0,0.7270309003637936,0.0012156596236223465,nan,0,0,cann_gated_cue,0.7295469492748369,0.0025160489110431783,0.7961706624148838
28.0,0.7293965337740214,0.0012664417310912777,nan,0,0,dead_reckoning,0.7322470404281154,0.0028505066540942536,
28.0,0.7293965337740214,0.0012664417310912777,nan,0,0,cann_no_cue,0.7322470401709211,0.0028505063968999877,0.7961706624212556
28.0,0.7293965337740214,0.0012664417310912777,nan,0,0,cann_sparse_cue,0.73197826852193,0.0025817347479089037,0.7961706624212557
28.0,0.7293965337740214,0.0012664417310912777,nan,0,0,cann_gated_cue,0.73197826852193,0.0025817347479089037,0.7961706624212557
30.0,0.7317806840140249,0.0010538480051316848,nan,0,0,dead_reckoning,0.7347799238902979,0.002999239876273041,
30.0,0.7317806840140249,0.0010538480051316848,nan,0,0,cann_no_cue,0.7347799236329322,0.0029992396189073567,0.7961706624252446
